variant,gamma_scale,effective_gamma,source_overall_ba,source_worst_group_ba,source_flip_rate,source_mean_score_drift,anchor_distance,accepted,current17_mean_acc,current17_mean_ap,current17_mean_auc,current17_mean_f_acc,current17_mean_r_acc
R0_gamma_scale_0p00,0.0,0.0,99.965,99.375,0.0003,0.019373787567019463,1.0,False,90.63299535323395,97.74016923685183,97.68747013264694,88.00787072706551,93.25811997940244
R0_gamma_scale_0p25,0.25,0.02,99.975,100.0,0.0001,0.012954453937709332,0.75,False,91.67892762425538,98.30916868776796,98.24042469536771,89.62913284082437,93.7287224076864
R0_gamma_scale_0p50,0.5,0.04,99.985,100.0,0.0,0.007724071387201548,0.5,True,92.55709879091283,98.68254291894591,98.61520824220281,90.96361667441789,94.15058090740774
R0_gamma_scale_0p75,0.75,0.06,99.985,100.0,0.0,0.0034665099810808897,0.25000000000000006,True,93.19210719620548,98.92334311024189,98.86294668584704,91.97942150912093,94.40479288329004
R0_gamma_scale_1p00,1.0,0.08,99.985,100.0,0.0,3.903647183278736e-09,0.0,True,93.6727974468289,99.07212662313954,99.019933060054,92.75007086550846,94.59552402814933
R0_gamma_scale_1p25,1.25,0.1,99.99,100.0,5e-05,0.0028262112755328417,0.25000000000000006,True,94.03150286986266,99.15571566705161,99.11104238783415,93.3437469188041,94.71925882092124
R0_gamma_scale_1p50,1.5,0.12,99.995,100.0,0.0001,0.005135758779942989,0.4999999999999999,True,94.20236185293139,99.1901217697435,99.15270686878848,93.69670024585348,94.70802346000926
R0_gamma_scale_1p75,1.75,0.14,99.995,100.0,0.0001,0.007029152009636164,0.7500000000000001,True,94.34827828885977,99.18647125538307,99.15696982250395,93.98009281078481,94.71646376693474
R0_gamma_scale_2p00,2.0,0.16,99.995,100.0,0.0001,0.00858754850924015,1.0,True,94.37555423806397,99.15314990815163,99.13275085397532,94.11980053413453,94.63130794199343
