mean_acc,mean_ap,mean_auc,mean_f_acc,mean_fnr,mean_fpr,mean_r_acc,variant,variant_name
94.82305609326008,99.3441432768455,99.30291948043306,94.95312245328778,5.046877546712226,5.307010266767613,94.69298973323238,RP0_full_residual_prior,Full residual prior
90.61638181373394,97.51369843291516,97.5413422272774,87.99825925102792,12.001740748972088,6.765495623560034,93.23450437643997,RP1_no_residual,No residual
88.98813648949127,93.48937795920492,94.1510942799561,86.99017164933771,13.009828350662284,9.013898670355157,90.98610132964484,RP2_residual_only,Residual only
91.62103555652882,95.98479845790237,96.30190165569286,94.07588913630127,5.9241108636987345,10.833818023243607,89.16618197675639,RP3_artifact_residual,Artifact + residual
84.06152147043194,94.15879292951414,94.10076238612704,71.49866790024879,28.501332099751206,3.3756249593849152,96.62437504061509,RP4_semantic_residual,Semantic + residual
90.61638181373394,97.51369843291516,97.5413422272774,87.99825925102792,12.001740748972088,6.765495623560034,93.23450437643997,RP6_gamma_scale_0p00,Gamma scale 0.00
94.02218977312931,99.1519244147021,99.10985880414196,93.39983644525061,6.600163554749382,5.355456898992002,94.64454310100801,RP6_gamma_scale_0p50,Gamma scale 0.50
94.82305609326008,99.3441432768455,99.30291948043306,94.95312245328778,5.046877546712226,5.307010266767613,94.69298973323238,RP6_gamma_scale_1p00,Gamma scale 1.00
94.70711963494512,99.18209252148402,99.15405968453219,95.0325312723988,4.967468727601207,5.618292002508561,94.38170799749143,RP6_gamma_scale_1p50,Gamma scale 1.50
94.31404218684509,98.84950921271545,98.86542459850551,94.4957441063556,5.504255893644389,5.867659732665423,94.13234026733458,RP6_gamma_scale_2p00,Gamma scale 2.00
