accepted,alpha_high_neg,alpha_high_neg_guard,alpha_high_pos,alpha_low_neg,alpha_low_pos,anchor_distance,beta,fake_brier,fake_logloss,fake_margin,gamma,real_brier,real_logloss,real_margin,residual_scale,semantic_neg_scale,semantic_pos_scale,source_ap,source_auc,source_ba,source_brier,source_flip_rate,source_logloss,source_margin,source_mean_score_drift,target_labels_used_for_selection,tile_scale,variant
False,0.0,0.15000000000000002,0.15000000000000002,0.11249999999999999,0.11249999999999999,1.0,0.15000000000000002,0.0013671047218928505,0.02117089139052429,4.352535270256176,0.09,0.003070224559083711,0.03497668602960909,3.8474062525566666,0.75,0.75,0.75,99.99997301168118,99.999973,99.975,0.002218664640488281,0.0002,0.028073788710066685,4.099970761406421,0.013204455375671387,False,0.75,b0p75_sp0p75_sn0p75_g0p75
False,0.0,0.15000000000000002,0.15000000000000002,0.11249999999999999,0.11249999999999999,0.75,0.15000000000000002,0.0009673748402913074,0.01583123978101278,4.717849189482629,0.12,0.002339287510143374,0.028278295646006854,4.141659943718835,1.0,0.75,0.75,99.99998500369603,99.99998500000001,99.975,0.0016533311752173405,0.0002,0.022054767713509817,4.4297545666007325,0.007514750584959984,False,0.75,b0p75_sp0p75_sn0p75_g1p00
False,0.0,0.15000000000000002,0.15000000000000002,0.11249999999999999,0.11249999999999999,1.0,0.15000000000000002,0.0007411467547302443,0.012071001306012519,5.083163175755553,0.15,0.0018383592559565714,0.023163741511333717,4.435913612030446,1.25,0.75,0.75,99.99999000299769,99.99999000000001,99.97999999999999,0.0012897530053434078,0.00015,0.01761737140867312,4.759538393893,0.0034269881434738636,False,0.75,b0p75_sp0p75_sn0p75_g1p25
False,0.0,0.15000000000000002,0.15000000000000002,0.11249999999999999,0.11249999999999999,1.25,0.15000000000000002,0.000608710444738715,0.009408567048917583,5.448476982620359,0.18,0.0014843417289114392,0.019221797016904147,4.730167302660644,1.5,0.75,0.75,99.99999300239874,99.999993,99.98,0.0010465260868250767,0.00015,0.014315182032910866,5.089322142640501,0.002830736804753542,False,0.75,b0p75_sp0p75_sn0p75_g1p50
False,0.0,0.15000000000000002,0.15000000000000002,0.11249999999999999,0.11249999999999999,1.5,0.15000000000000002,0.0005278276405100674,0.007509092124314209,5.813791188266873,0.21,0.001226899056199735,0.016152500600339056,5.024420964458585,1.75,0.75,0.75,99.99999500249874,99.999995,99.98,0.0008773633483549013,0.00015,0.011830796362326633,5.419106076362729,0.004020577762275934,False,0.75,b0p75_sp0p75_sn0p75_g1p75
False,0.0,0.15000000000000002,0.15000000000000002,0.11249999999999999,0.11249999999999999,1.75,0.15000000000000002,0.0004762356673388841,0.006141112827034843,6.17910508822538,0.24,0.001035063292011917,0.01373719923444824,5.318674637204409,2.0,0.75,0.75,99.99999500249874,99.999995,99.98,0.0007556494796754005,0.00015,0.009939156030741542,5.748889862714894,0.005341961048543453,False,0.75,b0p75_sp0p75_sn0p75_g2p00
False,0.0,0.2,0.15000000000000002,0.15,0.11249999999999999,0.75,0.15000000000000002,0.0013671537431652963,0.021171190104409224,4.3525319578830155,0.09,0.0015057255267347993,0.02249961136236696,4.334840656470543,0.75,1.0,0.75,99.99999300109972,99.999993,99.97999999999999,0.0014364396349500477,0.00015,0.021835400733388088,4.343686307176779,0.007449036464095116,False,0.75,b0p75_sp0p75_sn1p00_g0p75
False,0.0,0.2,0.15000000000000002,0.15,0.11249999999999999,0.5,0.15000000000000002,0.0009673983302073453,0.015831443369871346,4.717845877109468,0.12,0.0011504578945146968,0.018206643620415318,4.62909431425333,1.0,1.0,0.75,99.99999800039991,99.999998,99.985,0.0010589281123610209,0.0001,0.01701904349514333,4.673470095681399,0.0029175442177802324,False,0.75,b0p75_sp0p75_sn1p00_g1p00
False,0.0,0.2,0.15000000000000002,0.15,0.11249999999999999,0.75,0.15000000000000002,0.0007411576779232525,0.012071138682543264,5.08315986335855,0.15,0.0009062040930731875,0.014931913390054256,4.923348001894355,1.25,1.0,0.75,99.99999800039991,99.999998,99.985,0.00082368088549822,0.0001,0.013501526036298759,5.0032539326264525,0.002757544629275799,False,0.75,b0p75_sp0p75_sn1p00_g1p25
False,0.0,0.2,0.15000000000000002,0.15,0.11249999999999999,1.0,0.15000000000000002,0.0006087154201124791,0.009408659110066761,5.44847367015183,0.18,0.0007327873320852091,0.01240824682955234,5.217601678711176,1.5,1.0,0.75,100.0,100.0,99.98,0.000670751376098844,0.00015,0.010908452969809551,5.333037674431503,0.003981847781687975,False,0.75,b0p75_sp0p75_sn1p00_g1p50
