generator,acc,ap,auc,f_acc,fnr,fpr,r_acc,variant,variant_name
cyclegan,96.63133989401969,99.83309802712017,99.83948801202952,100.0,0.0,6.737320211960636,93.26267978803936,RZ5_current_top1_tile,Current top1 tile
gaugan,82.83,99.50537386675106,99.577634,100.0,0.0,34.34,65.66,RZ5_current_top1_tile,Current top1 tile
progan,99.9875,99.99999375156212,99.99999375,100.0,0.0,0.024999999999991473,99.97500000000001,RZ5_current_top1_tile,Current top1 tile
stable_diffusion_v_1_4,92.55833333333334,98.62378111245272,98.59178055555556,87.0,13.0,1.88333333333334,98.11666666666666,RZ5_current_top1_tile,Current top1 tile
stable_diffusion_v_1_5,92.90625,98.79108529386482,98.6842328125,87.6375,12.362499999999997,1.8250000000000028,98.175,RZ5_current_top1_tile,Current top1 tile
stargan,99.87493746873437,100.0,100.0,100.0,0.0,0.25012506253126787,99.74987493746873,RZ5_current_top1_tile,Current top1 tile
stylegan,99.34902353530295,99.99820935479707,99.99820294621536,98.71473877482892,1.2852612251710838,0.01669170422300681,99.983308295777,RZ5_current_top1_tile,Current top1 tile
stylegan2,98.87956935403105,99.99537859382099,99.99535325772835,97.78417626439659,2.215823735603408,0.025037556334510214,99.97496244366549,RZ5_current_top1_tile,Current top1 tile
whichfaceisreal,90.2,97.45436924756699,97.0824,90.3,9.700000000000003,9.899999999999991,90.10000000000001,RZ5_current_top1_tile,Current top1 tile
wukong,87.61666666666666,97.50111565340606,97.38930833333333,77.13333333333333,22.866666666666674,1.9000000000000057,98.1,RZ5_current_top1_tile,Current top1 tile
ADM,96.40833333333333,99.53305342055488,99.48955277777777,94.55,5.450000000000003,1.7333333333333343,98.26666666666667,RZ2_resized512_tile,Resized-512 tile
DALLE2,97.6,99.81193287589629,99.7823,98.8,1.2000000000000028,3.6000000000000085,96.39999999999999,RZ2_resized512_tile,Resized-512 tile
