biggan_r_acc,diffusion_f_acc,gaugan_r_acc,high_res_acc,tail_f_acc,variant,variant_name
79.35,90.75902777777776,65.66,94.01822916666667,87.00104166666667,RZ0_full_native_tile,Full native tile
79.95,85.30416666666667,67.2,87.16666666666667,71.99791666666667,RZ1_whole_only_no_tile,Whole only / no tile
79.35,90.75902777777776,65.66,94.01822916666667,87.00104166666667,RZ5_current_top1_tile,Current top1 tile
79.35,90.74305555555554,65.64,93.65572916666666,86.65625,RZ2_resized512_tile,Resized-512 tile
79.35,88.25486111111111,65.64,91.98229166666667,81.553125,RZ3_center_crop_tile,Center crop tile
79.35,88.2298611111111,65.64,92.39322916666666,82.02395833333333,RZ4_tile_mean_aggregation,Native tile mean aggregation
