alpha_high_neg,alpha_high_neg_guard,alpha_high_pos,alpha_low_neg,alpha_low_pos,anchor_distance,beta,biggan_r_acc,bootstrap_level,bootstrap_samples,delta_anchor_distance,delta_biggan_r_acc,delta_diffusion_text_f_acc,delta_diffusion_text_f_acc_ci95_high,delta_diffusion_text_f_acc_ci95_low,delta_flip_rate,delta_gan_face_translation_acc,delta_gan_face_translation_acc_ci95_high,delta_gan_face_translation_acc_ci95_low,delta_gaugan_r_acc,delta_mean_acc,delta_mean_acc_ci95_high,delta_mean_acc_ci95_low,delta_mean_ap,delta_mean_ap_ci95_high,delta_mean_ap_ci95_low,delta_mean_auc,delta_mean_auc_ci95_high,delta_mean_auc_ci95_low,delta_mean_f_acc,delta_mean_f_acc_ci95_high,delta_mean_f_acc_ci95_low,delta_mean_fnr,delta_mean_fnr_ci95_high,delta_mean_fnr_ci95_low,delta_mean_fpr,delta_mean_fpr_ci95_high,delta_mean_fpr_ci95_low,delta_mean_r_acc,delta_mean_r_acc_ci95_high,delta_mean_r_acc_ci95_low,delta_mean_score_drift,delta_overall_ba,delta_tail_f_acc,delta_tail_f_acc_ci95_high,delta_tail_f_acc_ci95_low,delta_worst_group_ba,description,diffusion_text_f_acc,family,flip_rate,gamma,gan_face_translation_acc,gaugan_r_acc,is_reference,mean_acc,mean_ap,mean_auc,mean_f_acc,mean_fnr,mean_fpr,mean_r_acc,mean_score_drift,overall_ba,paper_parameter,paper_table,paper_value,parameter,reference_value,residual_scale,selection_data,semantic_neg_scale,semantic_pos_scale,tail_f_acc,target_labels_used_for_selection,threshold,tile_scale,value,variant,worst_group_ba
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,79.35,current17_generator_paired,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-resolution semantic negative alpha direct value.,92.01157407407408,one_factor_alpha_split,0.0,0.21,94.634671281511,65.66,True,94.82305609326008,99.3441432768455,99.30291948043306,94.95312245328778,5.046877546712226,5.307010266767613,94.69298973323238,0.0,100.0,alpha_high_neg_direct,tableS4h_alpha_high_neg_direct_ablation,0.0,alpha_high_neg_direct,0.0,1.0,none,1.0,1.0,91.21736111111112,False,0.5,1.0,0.0,AS4_alpha_high_neg_direct_0p00,100.0
0.02,0.25,0.4,0.1875,0.3,0.08,0.25,79.35,current17_generator_paired,1000,0.08,0.0,-0.07407407407407618,0.0,-0.21111111111110858,0.0,0.018749999999997158,0.056250000000005684,0.0,0.0,-0.007475490196085843,0.022968750000006775,-0.05257352941175988,0.0013756531297133279,0.00894103101937631,-0.005800592712346742,0.0012636540032673338,0.009710743464043858,-0.007440130718951466,-0.03921568627450256,0.0,-0.11470588235293633,0.039215686274508776,0.11470588235293988,0.0,-0.024264705882353077,-0.0036764705882363913,-0.06054534313725575,0.024264705882359294,0.06127450980392268,0.0036764705882319504,0.0,0.0,-0.10277777777778851,0.0,-0.3083333333333371,0.0,High-resolution semantic negative alpha direct value.,91.9375,one_factor_alpha_split,0.0,0.21,94.653421281511,65.66,False,94.81558060306399,99.34551892997521,99.30418313443633,94.91390676701327,5.086093232986735,5.28274556088526,94.71725443911474,0.0,100.0,alpha_high_neg_direct,tableS4h_alpha_high_neg_direct_ablation,0.02,alpha_high_neg_direct,0.0,1.0,none,1.0,1.0,91.11458333333333,False,0.5,1.0,0.02,AS4_alpha_high_neg_direct_0p02,100.0
0.05,0.25,0.4,0.1875,0.3,0.2,0.25,79.35,current17_generator_paired,1000,0.2,0.0,-0.2055555555555486,0.0,-0.6055555555555401,0.0,0.04375000000000284,0.13125000000000853,0.0,0.0,-0.02757352941176805,0.06275735294119009,-0.14975490196077637,0.0012131631432765744,0.01979200543239513,-0.022314197783784094,0.000864174836593179,0.022501694240187563,-0.02496645424838917,-0.10882352941176521,0.0,-0.3205882352941245,0.10882352941176521,0.3205882352941183,0.0,-0.053676470588236214,-0.007598039215686447,-0.1372549019607843,0.05367647058824332,0.1372549019607739,0.007598039215679364,0.0,0.0,-0.2916666666666714,0.0,-0.875,0.0,High-resolution semantic negative alpha direct value.,91.80601851851853,one_factor_alpha_split,0.0,0.21,94.678421281511,65.66,False,94.79548256384831,99.34535643998878,99.30378365526965,94.84429892387601,5.155701076123991,5.253333796179377,94.74666620382062,0.0,100.0,alpha_high_neg_direct,tableS4h_alpha_high_neg_direct_ablation,0.05,alpha_high_neg_direct,0.0,1.0,none,1.0,1.0,90.92569444444445,False,0.5,1.0,0.05,AS4_alpha_high_neg_direct_0p05,100.0
0.1,0.25,0.4,0.1875,0.3,0.4,0.25,79.35,current17_generator_paired,1000,0.4,0.0,-0.5500000000000114,0.0,-1.5722222222222229,0.0,0.09375,0.28125,0.0,0.0,-0.08909313725487777,0.12661458333333184,-0.3913020833333462,-0.006031362258156037,0.034180262383388525,-0.05884366613359156,-0.007039123774504219,0.036512424683422744,-0.06605394454655773,-0.30294117647059693,0.0,-0.8735294117646933,0.30294117647058716,0.864705882352939,0.0,-0.12475490196078542,-0.014944852941178028,-0.3257536764705895,0.12475490196079875,0.3306433823529392,0.014950980392157476,0.0,0.0,-0.7666666666666799,0.0,-2.3000000000000114,0.0,High-resolution semantic negative alpha direct value.,91.46157407407406,one_factor_alpha_split,0.0,0.21,94.728421281511,65.66,False,94.7339629560052,99.33811191458734,99.29588035665856,94.65018127681718,5.349818723182813,5.182255364806828,94.81774463519318,0.0,100.0,alpha_high_neg_direct,tableS4h_alpha_high_neg_direct_ablation,0.1,alpha_high_neg_direct,0.0,1.0,none,1.0,1.0,90.45069444444444,False,0.5,1.0,0.1,AS4_alpha_high_neg_direct_0p10,100.0
0.15,0.25,0.4,0.1875,0.3,0.6,0.25,79.35,current17_generator_paired,1000,0.6,0.0,-1.0388888888888914,0.0,-2.9611111111111086,0.0,0.125,0.375,0.0,0.0,-0.20147058823529562,0.14806372549017544,-0.7627450980392183,-0.023884010168615077,0.043414111123580304,-0.12029271738292095,-0.026614613970579626,0.052647209456684815,-0.13609652982026255,-0.5735294117647101,0.0,-1.6324999999999932,0.5735294117647056,1.6323529411764715,0.0,-0.17058823529411882,-0.017647058823530216,-0.47426470588235237,0.17058823529413303,0.45887254901961677,0.017647058823527573,0.0,0.0,-1.4416666666666913,0.0,-4.325000000000017,0.0,High-resolution semantic negative alpha direct value.,90.97268518518518,one_factor_alpha_split,0.0,0.21,94.759671281511,65.66,False,94.62158550502478,99.32025926667689,99.27630486646248,94.37959304152307,5.620406958476932,5.1364220314734945,94.86357796852651,0.0,100.0,alpha_high_neg_direct,tableS4h_alpha_high_neg_direct_ablation,0.15,alpha_high_neg_direct,0.0,1.0,none,1.0,1.0,89.77569444444443,False,0.5,1.0,0.15,AS4_alpha_high_neg_direct_0p15,100.0
0.2,0.25,0.4,0.1875,0.3,0.8,0.25,79.35,current17_generator_paired,1000,0.8,0.0,-1.6037037037037152,0.0,-4.683333333333323,0.0,0.11875000000000568,0.35625000000000284,0.0,0.0,-0.348774509803917,0.1331066176470795,-1.1791850490196016,-0.05578975879546988,0.05247436733659966,-0.22631994215355888,-0.061918525326788654,0.05966573069852429,-0.2659981495098066,-0.8784313725490307,0.0,-2.5088235294117567,0.8784313725490192,2.5088235294117633,0.0,-0.18088235294117627,-0.02449754901960951,-0.4749999999999984,0.1808823529411825,0.4696813725490325,0.02205882352943398,0.0,0.0,-2.213888888888903,0.0,-6.64166666666668,0.0,High-resolution semantic negative alpha direct value.,90.40787037037036,one_factor_alpha_split,0.0,0.21,94.75342128151101,65.66,False,94.47428158345616,99.28835351805003,99.24100095510627,94.07469108073875,5.925308919261245,5.126127913826437,94.87387208617356,0.0,100.0,alpha_high_neg_direct,tableS4h_alpha_high_neg_direct_ablation,0.2,alpha_high_neg_direct,0.0,1.0,none,1.0,1.0,89.00347222222221,False,0.5,1.0,0.2,AS4_alpha_high_neg_direct_0p20,100.0
