alpha_high_neg,alpha_high_neg_guard,alpha_high_pos,alpha_low_neg,alpha_low_pos,anchor_distance,beta,biggan_r_acc,bootstrap_level,bootstrap_samples,delta_anchor_distance,delta_biggan_r_acc,delta_diffusion_text_f_acc,delta_diffusion_text_f_acc_ci95_high,delta_diffusion_text_f_acc_ci95_low,delta_flip_rate,delta_gan_face_translation_acc,delta_gan_face_translation_acc_ci95_high,delta_gan_face_translation_acc_ci95_low,delta_gaugan_r_acc,delta_mean_acc,delta_mean_acc_ci95_high,delta_mean_acc_ci95_low,delta_mean_ap,delta_mean_ap_ci95_high,delta_mean_ap_ci95_low,delta_mean_auc,delta_mean_auc_ci95_high,delta_mean_auc_ci95_low,delta_mean_f_acc,delta_mean_f_acc_ci95_high,delta_mean_f_acc_ci95_low,delta_mean_fnr,delta_mean_fnr_ci95_high,delta_mean_fnr_ci95_low,delta_mean_fpr,delta_mean_fpr_ci95_high,delta_mean_fpr_ci95_low,delta_mean_r_acc,delta_mean_r_acc_ci95_high,delta_mean_r_acc_ci95_low,delta_mean_score_drift,delta_overall_ba,delta_tail_f_acc,delta_tail_f_acc_ci95_high,delta_tail_f_acc_ci95_low,delta_worst_group_ba,description,diffusion_text_f_acc,family,flip_rate,gamma,gan_face_translation_acc,gaugan_r_acc,is_reference,mean_acc,mean_ap,mean_auc,mean_f_acc,mean_fnr,mean_fpr,mean_r_acc,mean_score_drift,overall_ba,paper_parameter,paper_table,paper_value,parameter,reference_value,residual_scale,selection_data,semantic_neg_scale,semantic_pos_scale,tail_f_acc,target_labels_used_for_selection,threshold,tile_scale,value,variant,worst_group_ba
0.0,0.25,0.4,0.1875,0.3,1.0,0.0,79.95,current17_generator_paired,1000,1.0,0.6000000000000085,-3.8939814814814753,-1.3498611111110923,-6.361701388888878,0.0,-0.18816255633448975,0.2240441912869312,-0.8438290639083903,1.5400000000000063,-0.8587676735691758,-0.1763239712510044,-1.6520009085319038,-0.031083328119336784,0.11127559113384677,-0.23404262712376217,-0.033369376987039345,0.12401644492700324,-0.2283720473795178,-2.4218902624579925,-1.013799762119972,-4.130077808468046,2.4218902624580014,4.1739786934965775,0.8896353604972175,-0.7043549153196498,-0.46949177873269055,-0.9303229672262547,0.7043549153196409,0.925853970922203,0.461671091790237,0.00018062791787087917,0.0,-5.385416666666671,-2.4722048611111034,-8.257638888888877,0.0,Tile artifact beta scale.,88.1175925925926,one_factor_compact,0.0,0.21,94.44650872517651,67.2,False,93.9642884196909,99.31305994872616,99.26955010344602,92.53123219082978,7.468767809170227,4.602655351447964,95.39734464855202,0.00018062791787087917,100.0,beta_scale,table4a_beta_ablation,0.0,beta_scale,1.0,1.0,none,1.0,1.0,85.83194444444445,False,0.5,0.0,0.0,B0_beta_scale_0p00,100.0
0.0,0.25,0.4,0.1875,0.3,0.75,0.0625,79.85,current17_generator_paired,1000,0.75,0.5,-2.796759259259261,-0.955462962962929,-4.86203703703702,0.0,-0.16340135265983236,0.1891116877340984,-0.6750407434225689,1.019999999999996,-0.6009143620359794,-0.06310704624159379,-1.1988474280122023,-0.010328510781150158,0.08814287034065699,-0.1571788726676008,-0.010694936292495072,0.10356083665487821,-0.17440787051746048,-1.7532502926994482,-0.7257065787765047,-2.964403237822421,1.7532502926994429,3.0691800647937204,0.6115099984345175,-0.5514215686274504,-0.35384803921568714,-0.7303541666666684,0.5514215686274611,0.71735784313727,0.3521151960784238,0.00013366936764214188,0.0,-3.9256944444444457,-1.700468749999979,-6.126388888888883,0.0,Tile artifact beta scale.,89.21481481481482,one_factor_compact,0.0,0.21,94.47126992885117,66.67999999999999,False,94.2221417312241,99.33381476606435,99.29222454414057,93.19987216058833,6.800127839411669,4.755588698140163,95.24441130185984,0.00013366936764214188,100.0,beta_scale,table4a_beta_ablation,0.25,beta_scale,1.0,1.0,none,1.0,1.0,87.29166666666667,False,0.5,0.25,0.25,B0_beta_scale_0p25,100.0
0.0,0.25,0.4,0.1875,0.3,0.5,0.125,79.65,current17_generator_paired,1000,0.5,0.30000000000001137,-1.791203703703701,-0.6435763888888908,-3.0250925925925842,0.0,-0.13792438721165468,0.09238891669259955,-0.49218288036394214,0.5400000000000063,-0.37826343711920174,-0.04988542189026046,-0.7497496652454061,0.0022374800553848218,0.07425010988595594,-0.08816260710576777,0.003090003818485343,0.08051545327763916,-0.1028450559692029,-1.1333896193364552,-0.39953406392967,-1.9853760407917107,1.133389619336457,2.0032330468891013,0.42776130301974896,-0.3768627450980393,-0.24507352941176822,-0.5033431372549033,0.37686274509805173,0.5092499999999919,0.24058823529411164,8.810230792732909e-05,0.0,-2.5062500000000085,-1.0525868055555418,-3.8937500000000114,0.0,Tile artifact beta scale.,90.22037037037038,one_factor_compact,0.0,0.21,94.49674689429935,66.2,False,94.44479265614088,99.34638075690088,99.30600948425155,93.81973283395132,6.180267166048683,4.930147521669574,95.06985247833043,8.810230792732909e-05,100.0,beta_scale,table4a_beta_ablation,0.5,beta_scale,1.0,1.0,none,1.0,1.0,88.71111111111111,False,0.5,0.5,0.5,B0_beta_scale_0p50,100.0
0.0,0.25,0.4,0.1875,0.3,0.25,0.1875,79.5,current17_generator_paired,1000,0.25,0.15000000000000568,-0.8546296296296418,-0.27962962962963867,-1.4657870370370378,0.0,-0.09474065327742665,0.042513071675074676,-0.32192912286673553,0.2600000000000051,-0.18196128781683285,-0.023245565029221343,-0.38733387150645127,0.005113235829810492,0.04035333143903052,-0.03780088071315966,0.006120340274193836,0.045083178240552614,-0.043060578323910546,-0.5657363011238488,-0.20586671189191358,-0.9506206693279701,0.5657363011238452,1.0343997307235318,0.20597684757142262,-0.20181372549019816,-0.12744117647058872,-0.27814338235294395,0.20181372549021148,0.283202205882365,0.12435294117648468,4.36348382208962e-05,0.0,-1.2347222222222456,-0.5083333333333258,-1.9694444444444343,0.0,Tile artifact beta scale.,91.15694444444443,one_factor_compact,0.0,0.21,94.53993062823358,65.92,False,94.64109480544325,99.34925651267531,99.30903982070726,94.38738615216393,5.612613847836071,5.105196541277415,94.89480345872259,4.36348382208962e-05,100.0,beta_scale,table4a_beta_ablation,0.75,beta_scale,1.0,1.0,none,1.0,1.0,89.98263888888887,False,0.5,0.75,0.75,B0_beta_scale_0p75,100.0
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,79.35,current17_generator_paired,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tile artifact beta scale.,92.01157407407408,one_factor_compact,0.0,0.21,94.634671281511,65.66,True,94.82305609326008,99.3441432768455,99.30291948043306,94.95312245328778,5.046877546712226,5.307010266767613,94.69298973323238,0.0,100.0,beta_scale,table4a_beta_ablation,1.0,beta_scale,1.0,1.0,none,1.0,1.0,91.21736111111112,False,0.5,1.0,1.0,B0_beta_scale_1p00,100.0
0.0,0.25,0.4,0.1875,0.3,0.25,0.3125,79.3,current17_generator_paired,1000,0.25,-0.04999999999999716,0.6662037037036868,1.150543981481466,0.23888888888890775,0.0,-0.02044233142547114,0.02084585211149239,-0.07653960233183454,-0.37999999999999545,0.03327223619193376,0.17032107719336728,-0.08595609716564674,-0.014508608653585497,0.02526041117263843,-0.05104311241184014,-0.016241463896463415,0.036905488199788644,-0.05642440243528313,0.39118567557218853,0.6943843584003566,0.1511833098913044,-0.3911856755721832,-0.13040364468271115,-0.6711941687040355,0.3246412031883139,0.44962377450980184,0.2127683823529395,-0.324641203188321,-0.2213835598774001,-0.43465796856214567,4.3046580685768276e-05,0.0,0.9187499999999886,1.4597222222222257,0.3332638888888845,0.0,Tile artifact beta scale.,92.67777777777776,one_factor_compact,0.0,0.21,94.61422895008553,65.28,False,94.85632832945201,99.32963466819191,99.2866780165366,95.34430812885996,4.655691871140043,5.631651469955927,94.36834853004406,4.3046580685768276e-05,100.0,beta_scale,table4a_beta_ablation,1.25,beta_scale,1.0,1.0,none,1.0,1.0,92.1361111111111,False,0.5,1.25,1.25,B0_beta_scale_1p25,100.0
0.0,0.25,0.4,0.1875,0.3,0.5,0.375,79.2,current17_generator_paired,1000,0.5,-0.14999999999999147,1.2787037037036981,2.2096990740740834,0.42034722222224374,0.0,0.0036906388633042297,0.10631139678268367,-0.1168656109163635,-0.6400000000000006,0.01252108495528148,0.2611983894811182,-0.2270670717218149,-0.03871982439481769,0.04364297239644405,-0.11878045168584209,-0.04337475063411489,0.05915293871007987,-0.12805990832886885,0.7828696476086492,1.420667404292713,0.31865396133416335,-0.7828696476086705,-0.30094132620499625,-1.3450437420837176,0.7578274776981191,1.0284381633046857,0.48736573970996455,-0.7578274776981289,-0.48335198750204433,-1.0112837515399726,8.573006925871596e-05,0.0,1.8152777777777658,2.926944444444454,0.7055555555555622,0.0,Tile artifact beta scale.,93.29027777777777,one_factor_compact,0.0,0.21,94.63836192037431,65.02,False,94.83557717821536,99.30542345245068,99.25954472979895,95.73599210089642,4.2640078991035555,6.064837744465732,93.93516225553425,8.573006925871596e-05,100.0,beta_scale,table4a_beta_ablation,1.5,beta_scale,1.0,1.0,none,1.0,1.0,93.03263888888888,False,0.5,1.5,1.5,B0_beta_scale_1p50,100.0
