alpha_high_neg,alpha_high_neg_guard,alpha_high_pos,alpha_low_neg,alpha_low_pos,anchor_distance,beta,biggan_r_acc,bootstrap_level,bootstrap_samples,delta_anchor_distance,delta_biggan_r_acc,delta_diffusion_text_f_acc,delta_diffusion_text_f_acc_ci95_high,delta_diffusion_text_f_acc_ci95_low,delta_flip_rate,delta_gan_face_translation_acc,delta_gan_face_translation_acc_ci95_high,delta_gan_face_translation_acc_ci95_low,delta_gaugan_r_acc,delta_mean_acc,delta_mean_acc_ci95_high,delta_mean_acc_ci95_low,delta_mean_ap,delta_mean_ap_ci95_high,delta_mean_ap_ci95_low,delta_mean_auc,delta_mean_auc_ci95_high,delta_mean_auc_ci95_low,delta_mean_f_acc,delta_mean_f_acc_ci95_high,delta_mean_f_acc_ci95_low,delta_mean_fnr,delta_mean_fnr_ci95_high,delta_mean_fnr_ci95_low,delta_mean_fpr,delta_mean_fpr_ci95_high,delta_mean_fpr_ci95_low,delta_mean_r_acc,delta_mean_r_acc_ci95_high,delta_mean_r_acc_ci95_low,delta_mean_score_drift,delta_overall_ba,delta_tail_f_acc,delta_tail_f_acc_ci95_high,delta_tail_f_acc_ci95_low,delta_worst_group_ba,description,diffusion_text_f_acc,family,flip_rate,gamma,gan_face_translation_acc,gaugan_r_acc,is_reference,mean_acc,mean_ap,mean_auc,mean_f_acc,mean_fnr,mean_fpr,mean_r_acc,mean_score_drift,overall_ba,paper_parameter,paper_table,paper_value,parameter,reference_value,residual_scale,selection_data,semantic_neg_scale,semantic_pos_scale,tail_f_acc,target_labels_used_for_selection,threshold,tile_scale,value,variant,worst_group_ba
0.0,0.0,0.4,0.0,0.3,2.0,0.25,56.65,current17_generator_paired,1000,2.0,-22.699999999999996,4.703703703703695,7.6748611111111344,1.9146759259259287,0.00315,-4.061037644872982,-1.0994211466827344,-7.6279075845401465,-25.159999999999997,-1.7297039897441522,0.12144126558213976,-3.976060876790405,-0.09466277091483732,0.03845406988697239,-0.24301967729330443,-0.1201648825173578,0.04191754634597653,-0.2989514409705706,2.616330377919823,4.594256605496468,0.9791769885220003,-2.6163303779198213,-0.9143205739982516,-4.532825021846495,6.075738357408137,9.612790318301666,3.208065031841728,-6.075738357408127,-3.0586255112813716,-9.807419763855052,0.02348616160452366,-0.3149999999999977,5.00833333333334,8.894652777777779,1.4833333333333343,-3.7681159420289845,Semantic real-side negative evidence scale.,96.71527777777777,one_factor_compact,0.00315,0.21,90.57363363663802,40.5,False,93.09335210351593,99.24948050593066,99.1827545979157,97.5694528312076,2.4305471687924047,11.38274862417575,88.61725137582425,0.02348616160452366,99.685,semantic_neg_scale,table4c_alpha_neg_ablation,0.0,semantic_neg_scale,1.0,1.0,none,0.0,1.0,96.22569444444446,False,0.5,1.0,0.0,A1_semantic_neg_scale_0p00,96.23188405797102
0.0,0.0625,0.4,0.046875,0.3,1.5,0.25,62.9,current17_generator_paired,1000,1.5,-16.449999999999996,3.7564814814814724,5.914189814814818,1.579398148148155,0.0006,-2.751005890173218,-0.4929369575425978,-5.313864737723061,-18.139999999999993,-0.7909145365520942,0.6362564797889825,-2.5412718583381517,-0.015093415813026922,0.09523204378773643,-0.12183838612516915,-0.027925596578171508,0.09196916737134052,-0.1542235562618341,2.090808516696626,3.61826700835568,0.8295780067159597,-2.0908085166966144,-0.7874197448132971,-3.6838438110597314,3.672637589800817,6.344647779346871,1.5505884720376335,-3.6726375898008286,-1.4326114886719137,-6.453000762686714,0.012868204154074192,-0.060000000000002274,4.037499999999994,6.8125,1.2965972222222455,-1.4492753623188293,Semantic real-side negative evidence scale.,95.76805555555555,one_factor_compact,0.0006,0.21,91.88366539133779,47.52,False,94.03214155670798,99.32904986103247,99.27499388385489,97.0439309699844,2.9560690300156116,8.97964785656843,91.02035214343155,0.012868204154074192,99.94,semantic_neg_scale,table4c_alpha_neg_ablation,0.25,semantic_neg_scale,1.0,1.0,none,0.25,1.0,95.25486111111111,False,0.5,1.0,0.25,A1_semantic_neg_scale_0p25,98.55072463768117
0.0,0.125,0.4,0.09375,0.3,1.0,0.25,69.1,current17_generator_paired,1000,1.0,-10.25,2.6388888888888857,4.200092592592609,1.1369907407407502,0.0,-1.658780076684394,-0.2256139733627407,-3.398769541889445,-11.519999999999996,-0.29101905569463327,0.6747338771758703,-1.3479616131469219,0.01985965738337825,0.09981477168761436,-0.056321671286254114,0.014778505083455684,0.10446187680894814,-0.06822354832556207,1.4714130018557228,2.634313725490188,0.6278672297662066,-1.4714130018557254,-0.5713599320549457,-2.426667930817794,2.0534511132449627,3.896042505922251,0.7004777585961585,-2.053451113244961,-0.6921655816528482,-3.811471329519165,0.006283414550125599,0.0,2.816666666666663,4.906041666666671,0.8575694444444181,0.0,Semantic real-side negative evidence scale.,94.65046296296296,one_factor_compact,0.0,0.21,92.97589120482661,54.14,False,94.53203703756544,99.36400293422888,99.31769798551652,96.4245354551435,3.5754645448565006,7.360461380012576,92.63953861998742,0.006283414550125599,100.0,semantic_neg_scale,table4c_alpha_neg_ablation,0.5,semantic_neg_scale,1.0,1.0,none,0.5,1.0,94.03402777777778,False,0.5,1.0,0.5,A1_semantic_neg_scale_0p50,100.0
0.0,0.1875,0.4,0.140625,0.3,0.5,0.25,75.3,current17_generator_paired,1000,0.5,-4.049999999999997,1.3439814814814781,2.1849884259259515,0.48490740740740995,0.0,-0.696995606737687,-0.06734137351703746,-1.4297232998395057,-5.61999999999999,-0.05214008944517445,0.4293700032277,-0.5649328858364683,0.02209306548962786,0.06850976871497139,-0.016573966277566753,0.021122033948344665,0.06953456112320032,-0.022181718967262752,0.7566677221714997,1.3157887443911047,0.264708398381898,-0.7566677221714944,-0.2841410154447342,-1.305056288476833,0.8609479010618681,1.7057367843135858,0.2839864980068817,-0.8609479010618628,-0.26860830230133037,-1.6518593923190967,0.0023264605551958084,0.0,1.5048611111111114,2.5250000000000057,0.5159027777777727,0.0,Semantic real-side negative evidence scale.,93.35555555555555,one_factor_compact,0.0,0.21,93.93767567477332,60.040000000000006,False,94.7709160038149,99.36623634233513,99.3240415143814,95.70979017545928,4.290209824540732,6.1679581678294815,93.83204183217052,0.0023264605551958084,100.0,semantic_neg_scale,table4c_alpha_neg_ablation,0.75,semantic_neg_scale,1.0,1.0,none,0.75,1.0,92.72222222222223,False,0.5,1.0,0.75,A1_semantic_neg_scale_0p75,100.0
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,79.35,current17_generator_paired,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Semantic real-side negative evidence scale.,92.01157407407408,one_factor_compact,0.0,0.21,94.634671281511,65.66,True,94.82305609326008,99.3441432768455,99.30291948043306,94.95312245328778,5.046877546712226,5.307010266767613,94.69298973323238,0.0,100.0,semantic_neg_scale,table4c_alpha_neg_ablation,1.0,semantic_neg_scale,1.0,1.0,none,1.0,1.0,91.21736111111112,False,0.5,1.0,1.0,A1_semantic_neg_scale_1p00,100.0
0.0,0.3125,0.4,0.234375,0.3,0.5,0.25,82.75,current17_generator_paired,1000,0.5,3.4000000000000057,-1.4879629629629676,-0.5999074074074018,-2.4973611111111227,0.0,0.5593539317776788,1.2091220238938498,0.006088487149726874,4.920000000000002,-0.08150501249676267,0.42757996534863235,-0.5851779119175522,-0.040693107236009496,0.003978620099770316,-0.09523768088908931,-0.042114293087507804,0.012226576033734554,-0.10294846818864407,-0.8378415177723468,-0.2918218890264825,-1.4584779442257427,0.8378415177723451,1.497835681812523,0.309283641177725,-0.674831492778794,-0.1765717677116267,-1.3627458615353831,0.6748314927788073,1.375921032417522,0.17069845055736685,0.0013523170491680503,0.0,-1.7486111111111171,-0.5777777777777825,-2.9347222222221925,0.0,Semantic real-side negative evidence scale.,90.52361111111111,one_factor_compact,0.0,0.21,95.19402521328868,70.58,False,94.74155108076332,99.30345016960949,99.26080518734555,94.11528093551543,5.884719064484571,4.632178773988819,95.36782122601119,0.0013523170491680503,100.0,semantic_neg_scale,table4c_alpha_neg_ablation,1.25,semantic_neg_scale,1.0,1.0,none,1.25,1.0,89.46875,False,0.5,1.0,1.25,A1_semantic_neg_scale_1p25,100.0
0.0,0.375,0.4,0.28125,0.3,1.0,0.25,85.7,current17_generator_paired,1000,1.0,6.3500000000000085,-3.0888888888888886,-1.2999537037037148,-5.250370370370356,0.0,0.9695015506301843,2.1974154982473806,-0.03774924128865109,8.179999999999993,-0.2831022114681474,0.6903689731180942,-1.1281522252142557,-0.09766110902130265,0.003936308845852526,-0.20708517348548164,-0.10257463684139623,0.008391527723540893,-0.21919488753360666,-1.742811963637223,-0.6015537355940463,-3.0244027247937972,1.7428119636372204,3.046638303637416,0.607343429954343,-1.176607540700929,-0.2640225007135542,-2.419114136321475,1.1766075407009282,2.423227632571115,0.2909312599999964,0.002137198345735669,0.0,-3.61666666666666,-1.2222222222222143,-6.016874999999985,0.0,Semantic real-side negative evidence scale.,88.92268518518519,one_factor_compact,0.0,0.21,95.60417283214119,73.83999999999999,False,94.53995388179193,99.2464821678242,99.20034484359167,93.21031048965055,6.789689510349446,4.130402726066684,95.86959727393331,0.002137198345735669,100.0,semantic_neg_scale,table4c_alpha_neg_ablation,1.5,semantic_neg_scale,1.0,1.0,none,1.5,1.0,87.60069444444446,False,0.5,1.0,1.5,A1_semantic_neg_scale_1p50,100.0
