alpha_high_neg,alpha_high_neg_guard,alpha_high_pos,alpha_low_neg,alpha_low_pos,anchor_distance,beta,biggan_r_acc,bootstrap_level,bootstrap_samples,delta_anchor_distance,delta_biggan_r_acc,delta_diffusion_text_f_acc,delta_diffusion_text_f_acc_ci95_high,delta_diffusion_text_f_acc_ci95_low,delta_flip_rate,delta_gan_face_translation_acc,delta_gan_face_translation_acc_ci95_high,delta_gan_face_translation_acc_ci95_low,delta_gaugan_r_acc,delta_mean_acc,delta_mean_acc_ci95_high,delta_mean_acc_ci95_low,delta_mean_ap,delta_mean_ap_ci95_high,delta_mean_ap_ci95_low,delta_mean_auc,delta_mean_auc_ci95_high,delta_mean_auc_ci95_low,delta_mean_f_acc,delta_mean_f_acc_ci95_high,delta_mean_f_acc_ci95_low,delta_mean_fnr,delta_mean_fnr_ci95_high,delta_mean_fnr_ci95_low,delta_mean_fpr,delta_mean_fpr_ci95_high,delta_mean_fpr_ci95_low,delta_mean_r_acc,delta_mean_r_acc_ci95_high,delta_mean_r_acc_ci95_low,delta_mean_score_drift,delta_overall_ba,delta_tail_f_acc,delta_tail_f_acc_ci95_high,delta_tail_f_acc_ci95_low,delta_worst_group_ba,description,diffusion_text_f_acc,family,flip_rate,gamma,gan_face_translation_acc,gaugan_r_acc,is_reference,mean_acc,mean_ap,mean_auc,mean_f_acc,mean_fnr,mean_fpr,mean_r_acc,mean_score_drift,overall_ba,paper_parameter,paper_table,paper_value,parameter,reference_value,residual_scale,selection_data,semantic_neg_scale,semantic_pos_scale,tail_f_acc,target_labels_used_for_selection,threshold,tile_scale,value,variant,worst_group_ba
0.0,0.25,0.0,0.1875,0.3,1.0,0.25,79.35,current17_generator_paired,1000,1.0,0.0,-0.04629629629630472,0.0,-0.11666666666667425,0.0,-2.5625,0.0,-7.687500000000014,0.0,-1.2158088235294144,0.0017156862745082435,-3.6329810049019535,-0.7989450823886983,0.003921432364645838,-2.4002234161066283,-0.7681289930555408,0.0028979677287463085,-2.3060010679636394,-2.589215686274528,0.0,-7.737254901960782,2.5892156862745095,7.718774509803927,0.0,-0.15759803921568594,-0.0017156862745117962,-0.4644607843137245,0.15759803921568505,0.4649632352941069,0.0017156862745224544,0.0,0.0,-0.05277777777779136,0.0,-0.15833333333335986,0.0,High-resolution semantic positive alpha.,91.96527777777777,one_factor_alpha_split,0.0,0.21,92.072171281511,65.66,False,93.60724726973066,98.5451981944568,98.53479048737752,92.36390676701325,7.6360932329867355,5.149412227551927,94.85058777244807,0.0,100.0,alpha_high_pos_scale,tableS4f_alpha_high_pos_ablation,0.0,alpha_high_pos_scale,1.0,1.0,none,1.0,1.0,91.16458333333333,False,0.5,1.0,0.0,AS2_alpha_high_pos_scale_0p00,100.0
0.0,0.25,0.1,0.1875,0.3,0.7500000000000001,0.25,79.35,current17_generator_paired,1000,0.7500000000000001,0.0,-0.01666666666667993,0.0,-0.05000000000001137,0.0,-1.8375000000000057,0.0,-5.512500000000003,0.0,-0.867156862745091,0.0024509803921549888,-2.599044117647054,-0.4314434309644781,0.003473522788321047,-1.2971223347526486,-0.40691340890523975,0.0027442749182835513,-1.2232543402777794,-1.8735294117647072,0.0,-5.611985294117673,1.8735294117647063,5.611764705882353,0.0,-0.1392156862745093,-0.0009803921568627416,-0.4107843137254896,0.13921568627451109,0.4107843137255006,0.0009803921568618534,0.0,0.0,-0.025000000000019895,0.0,-0.07500000000001705,0.0,High-resolution semantic positive alpha.,91.9949074074074,one_factor_alpha_split,0.0,0.21,92.797171281511,65.66,False,93.95589923051499,98.91269984588102,98.89600607152782,93.07959304152307,6.920406958476932,5.167794580493104,94.83220541950689,0.0,100.0,alpha_high_pos_scale,tableS4f_alpha_high_pos_ablation,0.25,alpha_high_pos_scale,1.0,1.0,none,1.0,1.0,91.1923611111111,False,0.5,1.0,0.25,AS2_alpha_high_pos_scale_0p25,100.0
0.0,0.25,0.2,0.1875,0.3,0.5,0.25,79.35,current17_generator_paired,1000,0.5,0.0,-0.009259259259252417,0.0,-0.027777777777785673,0.0,-0.7312499999999886,0.0,-2.1937500000000085,0.0,-0.34509803921568505,0.001470588235306991,-1.0357965686274746,-0.17840901706064471,0.002819415886608922,-0.5385506505188911,-0.1674150633169944,0.0020835597937228557,-0.5049645391646255,-0.7990196078431495,0.0,-2.3872549019608016,0.7990196078431371,2.3872549019607847,0.0,-0.10882352941176432,-0.0009803921568627416,-0.32156862745097925,0.10882352941176521,0.3215931372549214,0.0009803921568618534,0.0,0.0,-0.013888888888899942,0.0,-0.041666666666671404,0.0,High-resolution semantic positive alpha.,92.00231481481482,one_factor_alpha_split,0.0,0.21,93.90342128151102,65.66,False,94.4779580540444,99.16573425978486,99.13550441711607,94.15410284544463,5.845897154555363,5.198186737355849,94.80181326264415,0.0,100.0,alpha_high_pos_scale,tableS4f_alpha_high_pos_ablation,0.5,alpha_high_pos_scale,1.0,1.0,none,1.0,1.0,91.20347222222222,False,0.5,1.0,0.5,AS2_alpha_high_pos_scale_0p50,100.0
0.0,0.25,0.30000000000000004,0.1875,0.3,0.24999999999999994,0.25,79.35,current17_generator_paired,1000,0.24999999999999994,0.0,-0.007407407407413302,0.0,-0.022222222222225696,0.0,-0.20000000000000284,0.0,-0.6000000000000085,0.0,-0.0960784313725469,0.0,-0.2843137254902075,-0.05075763726081561,0.001549004427140943,-0.15468574007948455,-0.049616033496718615,0.001126364889702458,-0.15027069495506745,-0.2392156862745054,0.0,-0.7137254901960688,0.23921568627450984,0.7137254901960777,0.0,-0.0470588235294116,0.0,-0.1411764705882348,0.0470588235294116,0.141176470588249,0.0,0.0,0.0,-0.011111111111119953,0.0,-0.03333333333334565,0.0,High-resolution semantic positive alpha.,92.00416666666666,one_factor_alpha_split,0.0,0.21,94.434671281511,65.66,False,94.72697766188753,99.29338563958468,99.25330344693634,94.71390676701327,5.286093232986736,5.259951443238202,94.74004855676179,0.0,100.0,alpha_high_pos_scale,tableS4f_alpha_high_pos_ablation,0.75,alpha_high_pos_scale,1.0,1.0,none,1.0,1.0,91.20625,False,0.5,1.0,0.75,AS2_alpha_high_pos_scale_0p75,100.0
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,79.35,current17_generator_paired,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-resolution semantic positive alpha.,92.01157407407408,one_factor_alpha_split,0.0,0.21,94.634671281511,65.66,True,94.82305609326008,99.3441432768455,99.30291948043306,94.95312245328778,5.046877546712226,5.307010266767613,94.69298973323238,0.0,100.0,alpha_high_pos_scale,tableS4f_alpha_high_pos_ablation,1.0,alpha_high_pos_scale,1.0,1.0,none,1.0,1.0,91.21736111111112,False,0.5,1.0,1.0,AS2_alpha_high_pos_scale_1p00,100.0
0.0,0.25,0.5,0.1875,0.3,0.24999999999999994,0.25,79.35,current17_generator_paired,1000,0.24999999999999994,0.0,0.007407407407399091,0.022222222222225696,0.0,0.0,0.09375,0.28125,0.0,0.0,0.04509803921567368,0.1338235294117709,-0.0009803921568618534,0.02299205054626441,0.07198777529690722,-0.0021111455648945565,0.02431472630719611,0.07491024458740618,-0.001355812908492382,0.1215686274509693,0.3607843137254747,0.0,-0.12156862745098085,0.0,-0.3607843137254925,0.03137254901960773,0.09117647058823497,0.0,-0.03137254901960773,0.0,-0.09218137254903454,0.0,0.0,0.011111111111091532,0.03333333333334565,0.0,0.0,High-resolution semantic positive alpha.,92.01898148148148,one_factor_alpha_split,0.0,0.21,94.728421281511,65.66,False,94.86815413247575,99.36713532739176,99.32723420674026,95.07469108073875,4.925308919261245,5.338382815787221,94.66161718421277,0.0,100.0,alpha_high_pos_scale,tableS4f_alpha_high_pos_ablation,1.25,alpha_high_pos_scale,1.0,1.0,none,1.0,1.0,91.22847222222221,False,0.5,1.0,1.25,AS2_alpha_high_pos_scale_1p25,100.0
0.0,0.25,0.6000000000000001,0.1875,0.3,0.5000000000000001,0.25,79.35,current17_generator_paired,1000,0.5000000000000001,0.0,0.009259259259238206,0.027777777777785673,0.0,0.0,0.08124999999999716,0.24375000000000568,0.0,0.0,0.037377450980386584,0.11705269607842438,-0.004908088235303509,0.03431974779086033,0.11002585502142849,-0.005280447490510554,0.03734317810459231,0.11619097528594083,-0.003125313521260864,0.2049019607842979,0.6098039215686271,0.0,-0.20490196078431389,0.0,-0.609803921568628,0.13014705882353006,0.37794117647059,0.0017156862745100199,-0.13014705882352473,-0.0017156862745224544,-0.3794301470588334,0.0,0.0,0.01388888888887152,0.041666666666671404,0.0,0.0,High-resolution semantic positive alpha.,92.02083333333331,one_factor_alpha_split,0.0,0.21,94.715921281511,65.66,False,94.86043354424046,99.37846302463636,99.34026265853765,95.15802441407207,4.841975585927912,5.437157325591143,94.56284267440886,0.0,100.0,alpha_high_pos_scale,tableS4f_alpha_high_pos_ablation,1.5,alpha_high_pos_scale,1.0,1.0,none,1.0,1.0,91.23124999999999,False,0.5,1.0,1.5,AS2_alpha_high_pos_scale_1p50,100.0
