alpha_high_neg,alpha_high_neg_guard,alpha_high_pos,alpha_low_neg,alpha_low_pos,anchor_distance,beta,description,family,flip_rate,gamma,mean_score_drift,overall_ba,parameter,residual_scale,selection_data,semantic_neg_scale,semantic_pos_scale,target_labels_used_for_selection,threshold,tile_scale,value,variant,worst_group_ba
0.0,0.25,0.4,0.1875,0.3,1.0,0.25,Residual gamma scale.,one_factor_compact,0.00015,0.0,0.013495265506207943,99.985,gamma_scale,0.0,none,1.0,1.0,False,0.5,1.0,0.0,R0_gamma_scale_0p00,98.93617021276596
0.0,0.25,0.4,0.1875,0.3,0.75,0.25,Residual gamma scale.,one_factor_compact,5e-05,0.0525,0.007324817590415478,99.995,gamma_scale,0.25,none,1.0,1.0,False,0.5,1.0,0.25,R0_gamma_scale_0p25,98.93617021276596
0.0,0.25,0.4,0.1875,0.3,0.5,0.25,Residual gamma scale.,one_factor_compact,0.0,0.105,0.003649021964520216,100.0,gamma_scale,0.5,none,1.0,1.0,False,0.5,1.0,0.5,R0_gamma_scale_0p50,100.0
0.0,0.25,0.4,0.1875,0.3,0.24999999999999997,0.25,Residual gamma scale.,one_factor_compact,0.0,0.1575,0.0014094194630160928,100.0,gamma_scale,0.75,none,1.0,1.0,False,0.5,1.0,0.75,R0_gamma_scale_0p75,100.0
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,Residual gamma scale.,one_factor_compact,0.0,0.21,0.0,100.0,gamma_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.0,R0_gamma_scale_1p00,100.0
0.0,0.25,0.4,0.1875,0.3,0.2500000000000001,0.25,Residual gamma scale.,one_factor_compact,0.0,0.2625,0.0009211500873789191,100.0,gamma_scale,1.25,none,1.0,1.0,False,0.5,1.0,1.25,R0_gamma_scale_1p25,100.0
0.0,0.25,0.4,0.1875,0.3,0.5000000000000001,0.25,Residual gamma scale.,one_factor_compact,0.0,0.315,0.0015474193496629596,100.0,gamma_scale,1.5,none,1.0,1.0,False,0.5,1.0,1.5,R0_gamma_scale_1p50,100.0
0.0,0.25,0.4,0.1875,0.3,0.75,0.25,Residual gamma scale.,one_factor_compact,0.0,0.3675,0.001989849144592881,100.0,gamma_scale,1.75,none,1.0,1.0,False,0.5,1.0,1.75,R0_gamma_scale_1p75,100.0
0.0,0.25,0.4,0.1875,0.3,1.0,0.25,Residual gamma scale.,one_factor_compact,0.0,0.42,0.002313723787665367,100.0,gamma_scale,2.0,none,1.0,1.0,False,0.5,1.0,2.0,R0_gamma_scale_2p00,100.0
0.0,0.25,0.4,0.1875,0.0,1.0,0.25,Low-resolution semantic positive alpha.,one_factor_alpha_split,0.0007,0.21,0.01146493200212717,99.93,alpha_low_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.0,AS0_alpha_low_pos_scale_0p00,97.20670391061452
0.0,0.25,0.4,0.1875,0.075,0.75,0.25,Low-resolution semantic positive alpha.,one_factor_alpha_split,0.0004,0.21,0.004623471759259701,99.96000000000001,alpha_low_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.25,AS0_alpha_low_pos_scale_0p25,98.88268156424581
0.0,0.25,0.4,0.1875,0.15,0.5,0.25,Low-resolution semantic positive alpha.,one_factor_alpha_split,5e-05,0.21,0.001723868539556861,99.995,alpha_low_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.5,AS0_alpha_low_pos_scale_0p50,99.53488372093024
0.0,0.25,0.4,0.1875,0.22499999999999998,0.25000000000000006,0.25,Low-resolution semantic positive alpha.,one_factor_alpha_split,0.0,0.21,0.0005137420375831425,100.0,alpha_low_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.75,AS0_alpha_low_pos_scale_0p75,100.0
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,Low-resolution semantic positive alpha.,one_factor_alpha_split,0.0,0.21,0.0,100.0,alpha_low_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.0,AS0_alpha_low_pos_scale_1p00,100.0
0.0,0.25,0.4,0.1875,0.375,0.25000000000000006,0.25,Low-resolution semantic positive alpha.,one_factor_alpha_split,0.0,0.21,0.000226982228923589,100.0,alpha_low_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.25,AS0_alpha_low_pos_scale_1p25,100.0
0.0,0.25,0.4,0.1875,0.44999999999999996,0.4999999999999999,0.25,Low-resolution semantic positive alpha.,one_factor_alpha_split,0.0,0.21,0.0003329334722366184,100.0,alpha_low_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.5,AS0_alpha_low_pos_scale_1p50,100.0
0.0,0.25,0.4,0.0,0.3,1.0,0.25,Low-resolution semantic negative alpha.,one_factor_alpha_split,0.00315,0.21,0.02348616160452366,99.685,alpha_low_neg_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.0,AS1_alpha_low_neg_scale_0p00,96.23188405797102
0.0,0.25,0.4,0.046875,0.3,0.75,0.25,Low-resolution semantic negative alpha.,one_factor_alpha_split,0.0006,0.21,0.012868204154074192,99.94,alpha_low_neg_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.25,AS1_alpha_low_neg_scale_0p25,98.55072463768117
0.0,0.25,0.4,0.09375,0.3,0.5,0.25,Low-resolution semantic negative alpha.,one_factor_alpha_split,0.0,0.21,0.006283414550125599,100.0,alpha_low_neg_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.5,AS1_alpha_low_neg_scale_0p50,100.0
0.0,0.25,0.4,0.140625,0.3,0.25,0.25,Low-resolution semantic negative alpha.,one_factor_alpha_split,0.0,0.21,0.0023264605551958084,100.0,alpha_low_neg_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.75,AS1_alpha_low_neg_scale_0p75,100.0
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,Low-resolution semantic negative alpha.,one_factor_alpha_split,0.0,0.21,0.0,100.0,alpha_low_neg_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.0,AS1_alpha_low_neg_scale_1p00,100.0
0.0,0.25,0.4,0.234375,0.3,0.25,0.25,Low-resolution semantic negative alpha.,one_factor_alpha_split,0.0,0.21,0.0013523170491680503,100.0,alpha_low_neg_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.25,AS1_alpha_low_neg_scale_1p25,100.0
0.0,0.25,0.4,0.28125,0.3,0.5,0.25,Low-resolution semantic negative alpha.,one_factor_alpha_split,0.0,0.21,0.002137198345735669,100.0,alpha_low_neg_scale,1.0,none,1.0,1.0,False,0.5,1.0,1.5,AS1_alpha_low_neg_scale_1p50,100.0
0.0,0.25,0.0,0.1875,0.3,1.0,0.25,High-resolution semantic positive alpha.,one_factor_alpha_split,0.0,0.21,0.0,100.0,alpha_high_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.0,AS2_alpha_high_pos_scale_0p00,100.0
0.0,0.25,0.1,0.1875,0.3,0.7500000000000001,0.25,High-resolution semantic positive alpha.,one_factor_alpha_split,0.0,0.21,0.0,100.0,alpha_high_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.25,AS2_alpha_high_pos_scale_0p25,100.0
0.0,0.25,0.2,0.1875,0.3,0.5,0.25,High-resolution semantic positive alpha.,one_factor_alpha_split,0.0,0.21,0.0,100.0,alpha_high_pos_scale,1.0,none,1.0,1.0,False,0.5,1.0,0.5,AS2_alpha_high_pos_scale_0p50,100.0
