generator,acc,alpha_high_neg,alpha_high_neg_guard,alpha_high_pos,alpha_low_neg,alpha_low_pos,anchor_distance,ap,auc,beta,description,f_acc,family,fnr,fpr,gamma,parameter,r_acc,residual_scale,selection_data,semantic_neg_scale,semantic_pos_scale,target_labels_used_for_selection,threshold,tile_scale,value,variant
Glide,98.38333333333334,0.0,0.25,0.4,0.1875,0.3,0.0,99.84511579957446,99.84023055555555,0.25,Source-only selected compact 4-scale fusion weights.,98.53333333333333,learnable_weight,1.4666666666666686,1.7666666666666657,0.21,compact_selected,98.23333333333333,1.0,source_gate_only,1.0,1.0,False,0.5,1.0,1.0,W1_source_selected_compact
Midjourney,97.2,0.0,0.25,0.4,0.1875,0.3,0.0,99.63461124917676,99.6067,0.25,Source-only selected compact 4-scale fusion weights.,96.23333333333333,learnable_weight,3.7666666666666657,1.8333333333333286,0.21,compact_selected,98.16666666666667,1.0,source_gate_only,1.0,1.0,False,0.5,1.0,1.0,W1_source_selected_compact
VQDM,93.40833333333333,0.0,0.25,0.4,0.1875,0.3,0.0,99.08256864369835,99.07156388888889,0.25,Source-only selected compact 4-scale fusion weights.,88.51666666666667,learnable_weight,11.483333333333334,1.7000000000000028,0.21,compact_selected,98.3,1.0,source_gate_only,1.0,1.0,False,0.5,1.0,1.0,W1_source_selected_compact
biggan,89.325,0.0,0.25,0.4,0.1875,0.3,0.0,99.26843368313611,99.219275,0.25,Source-only selected compact 4-scale fusion weights.,99.3,learnable_weight,0.7000000000000028,20.650000000000006,0.21,compact_selected,79.35,1.0,source_gate_only,1.0,1.0,False,0.5,1.0,1.0,W1_source_selected_compact
coco_sdxl_nw,98.35000000000001,0.0,0.25,0.4,0.1875,0.3,0.0,99.9416677829944,99.9414625,0.25,Source-only selected compact 4-scale fusion weights.,99.7,learnable_weight,0.29999999999999716,3.0,0.21,compact_selected,97.0,1.0,source_gate_only,1.0,1.0,False,0.5,1.0,1.0,W1_source_selected_compact
cyclegan,96.63133989401969,0.0,0.25,0.4,0.1875,0.3,0.0,99.83309802712017,99.83948801202952,0.25,Source-only selected compact 4-scale fusion weights.,100.0,learnable_weight,0.0,6.737320211960636,0.21,compact_selected,93.26267978803936,1.0,source_gate_only,1.0,1.0,False,0.5,1.0,1.0,W1_source_selected_compact
gaugan,82.83,0.0,0.25,0.4,0.1875,0.3,0.0,99.50537386675106,99.577634,0.25,Source-only selected compact 4-scale fusion weights.,100.0,learnable_weight,0.0,34.34,0.21,compact_selected,65.66,1.0,source_gate_only,1.0,1.0,False,0.5,1.0,1.0,W1_source_selected_compact
progan,99.9875,0.0,0.25,0.4,0.1875,0.3,0.0,99.99999375156212,99.99999375,0.25,Source-only selected compact 4-scale fusion weights.,100.0,learnable_weight,0.0,0.024999999999991473,0.21,compact_selected,99.97500000000001,1.0,source_gate_only,1.0,1.0,False,0.5,1.0,1.0,W1_source_selected_compact
stable_diffusion_v_1_4,92.55833333333334,0.0,0.25,0.4,0.1875,0.3,0.0,98.62378111245272,98.59178055555556,0.25,Source-only selected compact 4-scale fusion weights.,87.0,learnable_weight,13.0,1.88333333333334,0.21,compact_selected,98.11666666666666,1.0,source_gate_only,1.0,1.0,False,0.5,1.0,1.0,W1_source_selected_compact
stable_diffusion_v_1_5,92.90625,0.0,0.25,0.4,0.1875,0.3,0.0,98.79108529386482,98.6842328125,0.25,Source-only selected compact 4-scale fusion weights.,87.6375,learnable_weight,12.362499999999997,1.8250000000000028,0.21,compact_selected,98.175,1.0,source_gate_only,1.0,1.0,False,0.5,1.0,1.0,W1_source_selected_compact
