generator,acc,alpha_high_neg,alpha_high_neg_guard,alpha_high_pos,alpha_low_neg,alpha_low_pos,anchor_distance,ap,auc,beta,description,f_acc,family,fnr,fpr,gamma,parameter,r_acc,residual_scale,selection_data,semantic_neg_scale,semantic_pos_scale,target_labels_used_for_selection,threshold,tile_scale,value,variant
progan,99.9875,0.0,0.25,0.6000000000000001,0.1875,0.44999999999999996,1.0,99.99999375156212,99.99999375,0.25,Semantic fake-side positive evidence scale.,100.0,one_factor_compact,0.0,0.024999999999991473,0.21,semantic_pos_scale,99.97500000000001,1.0,none,1.0,1.5,False,0.5,1.0,1.5,A0_semantic_pos_scale_1p50
stable_diffusion_v_1_4,92.49166666666667,0.0,0.25,0.6000000000000001,0.1875,0.44999999999999996,1.0,98.48141717167054,98.49908611111111,0.25,Semantic fake-side positive evidence scale.,87.05000000000001,one_factor_compact,12.949999999999989,2.066666666666677,0.21,semantic_pos_scale,97.93333333333332,1.0,none,1.0,1.5,False,0.5,1.0,1.5,A0_semantic_pos_scale_1p50
stable_diffusion_v_1_5,92.81875000000001,0.0,0.25,0.6000000000000001,0.1875,0.44999999999999996,1.0,98.66685940423548,98.59375,0.25,Semantic fake-side positive evidence scale.,87.6875,one_factor_compact,12.3125,2.049999999999997,0.21,semantic_pos_scale,97.95,1.0,none,1.0,1.5,False,0.5,1.0,1.5,A0_semantic_pos_scale_1p50
stargan,99.84992496248124,0.0,0.25,0.6000000000000001,0.1875,0.44999999999999996,1.0,100.0,100.0,0.25,Semantic fake-side positive evidence scale.,100.0,one_factor_compact,0.0,0.30015007503752145,0.21,semantic_pos_scale,99.69984992496248,1.0,none,1.0,1.5,False,0.5,1.0,1.5,A0_semantic_pos_scale_1p50
stylegan,99.39909864797197,0.0,0.25,0.6000000000000001,0.1875,0.44999999999999996,1.0,99.99786861302339,99.99786303836771,0.25,Semantic fake-side positive evidence scale.,98.83158070438992,one_factor_compact,1.1684192956100787,0.03338340844599941,0.21,semantic_pos_scale,99.966616591554,1.0,none,1.0,1.5,False,0.5,1.0,1.5,A0_semantic_pos_scale_1p50
stylegan2,98.93590385578368,0.0,0.25,0.6000000000000001,0.1875,0.44999999999999996,1.0,99.99445300960484,99.99444428284892,0.25,Semantic fake-side positive evidence scale.,97.89684526790185,one_factor_compact,2.1031547320981474,0.025037556334510214,0.21,semantic_pos_scale,99.97496244366549,1.0,none,1.0,1.5,False,0.5,1.0,1.5,A0_semantic_pos_scale_1p50
whichfaceisreal,90.85,0.0,0.25,0.6000000000000001,0.1875,0.44999999999999996,1.0,98.08620376817959,97.7454,0.25,Semantic fake-side positive evidence scale.,93.7,one_factor_compact,6.299999999999997,12.0,0.21,semantic_pos_scale,88.0,1.0,none,1.0,1.5,False,0.5,1.0,1.5,A0_semantic_pos_scale_1p50
wukong,87.60833333333333,0.0,0.25,0.6000000000000001,0.1875,0.44999999999999996,1.0,97.36673909816783,97.28954166666666,0.25,Semantic fake-side positive evidence scale.,77.38333333333334,one_factor_compact,22.61666666666666,2.166666666666657,0.21,semantic_pos_scale,97.83333333333334,1.0,none,1.0,1.5,False,0.5,1.0,1.5,A0_semantic_pos_scale_1p50
ADM,95.78333333333333,0.0,0.0,0.4,0.0,0.3,2.0,99.36581787321283,99.27546666666667,0.25,Semantic real-side negative evidence scale.,97.81666666666666,one_factor_compact,2.183333333333337,6.25,0.21,semantic_neg_scale,93.75,1.0,none,0.0,1.0,False,0.5,1.0,0.0,A1_semantic_neg_scale_0p00
DALLE2,97.15,0.0,0.0,0.4,0.0,0.3,2.0,99.96095515178854,99.95739999999999,0.25,Semantic real-side negative evidence scale.,99.7,one_factor_compact,0.29999999999999716,5.400000000000006,0.21,semantic_neg_scale,94.6,1.0,none,0.0,1.0,False,0.5,1.0,0.0,A1_semantic_neg_scale_0p00
Glide,96.575,0.0,0.0,0.4,0.0,0.3,2.0,99.85322894304241,99.85201111111111,0.25,Semantic real-side negative evidence scale.,99.53333333333333,one_factor_compact,0.46666666666666856,6.383333333333326,0.21,semantic_neg_scale,93.61666666666667,1.0,none,0.0,1.0,False,0.5,1.0,0.0,A1_semantic_neg_scale_0p00
Midjourney,95.15,0.0,0.0,0.4,0.0,0.3,2.0,99.10476780839291,98.94623055555556,0.25,Semantic real-side negative evidence scale.,96.28333333333333,one_factor_compact,3.7166666666666686,5.983333333333334,0.21,semantic_neg_scale,94.01666666666667,1.0,none,0.0,1.0,False,0.5,1.0,0.0,A1_semantic_neg_scale_0p00
VQDM,94.95833333333333,0.0,0.0,0.4,0.0,0.3,2.0,99.07128461208268,99.07777916666667,0.25,Semantic real-side negative evidence scale.,96.03333333333333,one_factor_compact,3.9666666666666686,6.116666666666674,0.21,semantic_neg_scale,93.88333333333333,1.0,none,0.0,1.0,False,0.5,1.0,0.0,A1_semantic_neg_scale_0p00
biggan,78.175,0.0,0.0,0.4,0.0,0.3,2.0,98.55682493062704,98.377425,0.25,Semantic real-side negative evidence scale.,99.7,one_factor_compact,0.29999999999999716,43.35,0.21,semantic_neg_scale,56.65,1.0,none,0.0,1.0,False,0.5,1.0,0.0,A1_semantic_neg_scale_0p00
coco_sdxl_nw,96.8,0.0,0.0,0.4,0.0,0.3,2.0,99.89994773263827,99.8946625,0.25,Semantic real-side negative evidence scale.,99.7,one_factor_compact,0.29999999999999716,6.1000000000000085,0.21,semantic_neg_scale,93.89999999999999,1.0,none,0.0,1.0,False,0.5,1.0,0.0,A1_semantic_neg_scale_0p00
cyclegan,90.04542013626042,0.0,0.0,0.4,0.0,0.3,2.0,99.58421377873317,99.60510956476094,0.25,Semantic real-side negative evidence scale.,100.0,one_factor_compact,0.0,19.909159727479192,0.21,semantic_neg_scale,80.09084027252081,1.0,none,0.0,1.0,False,0.5,1.0,0.0,A1_semantic_neg_scale_0p00
gaugan,70.25,0.0,0.0,0.4,0.0,0.3,2.0,99.17510063972564,99.22637800000001,0.25,Semantic real-side negative evidence scale.,100.0,one_factor_compact,0.0,59.5,0.21,semantic_neg_scale,40.5,1.0,none,0.0,1.0,False,0.5,1.0,0.0,A1_semantic_neg_scale_0p00
progan,99.575,0.0,0.0,0.4,0.0,0.3,2.0,99.99985082183693,99.99985,0.25,Semantic real-side negative evidence scale.,100.0,one_factor_compact,0.0,0.8499999999999943,0.21,semantic_neg_scale,99.15,1.0,none,0.0,1.0,False,0.5,1.0,0.0,A1_semantic_neg_scale_0p00
stable_diffusion_v_1_4,94.90833333333333,0.0,0.0,0.4,0.0,0.3,2.0,99.0378028084541,99.02153333333334,0.25,Semantic real-side negative evidence scale.,96.03333333333333,one_factor_compact,3.9666666666666686,6.216666666666669,0.21,semantic_neg_scale,93.78333333333333,1.0,none,0.0,1.0,False,0.5,1.0,0.0,A1_semantic_neg_scale_0p00
stable_diffusion_v_1_5,95.28125,0.0,0.0,0.4,0.0,0.3,2.0,99.20948706428379,99.11583515625,0.25,Semantic real-side negative evidence scale.,96.4375,one_factor_compact,3.5625,5.875,0.21,semantic_neg_scale,94.125,1.0,none,0.0,1.0,False,0.5,1.0,0.0,A1_semantic_neg_scale_0p00
stargan,99.69984992496248,0.0,0.0,0.4,0.0,0.3,2.0,100.0,100.0,0.25,Semantic real-side negative evidence scale.,100.0,one_factor_compact,0.0,0.6003001500750429,0.21,semantic_neg_scale,99.39969984992496,1.0,none,0.0,1.0,False,0.5,1.0,0.0,A1_semantic_neg_scale_0p00
stylegan,99.53263228175598,0.0,0.0,0.4,0.0,0.3,2.0,99.99156038086696,99.99127941341712,0.25,Semantic real-side negative evidence scale.,99.48255716908696,one_factor_compact,0.5174428309130406,0.4172926055750281,0.21,semantic_neg_scale,99.58270739442497,1.0,none,0.0,1.0,False,0.5,1.0,0.0,A1_semantic_neg_scale_0p00
stylegan2,99.1111667501252,0.0,0.0,0.4,0.0,0.3,2.0,99.97491015044056,99.97439825236101,0.25,Semantic real-side negative evidence scale.,98.76064096144216,one_factor_compact,1.2393590385578364,0.538307461191792,0.21,semantic_neg_scale,99.46169253880821,1.0,none,0.0,1.0,False,0.5,1.0,0.0,A1_semantic_neg_scale_0p00
whichfaceisreal,88.2,0.0,0.0,0.4,0.0,0.3,2.0,96.82379950435813,96.3053,0.25,Semantic real-side negative evidence scale.,90.3,one_factor_compact,9.700000000000003,13.900000000000006,0.21,semantic_neg_scale,86.1,1.0,none,0.0,1.0,False,0.5,1.0,0.0,A1_semantic_neg_scale_0p00
wukong,91.39166666666667,0.0,0.0,0.4,0.0,0.3,2.0,97.6316164003374,97.48616944444444,0.25,Semantic real-side negative evidence scale.,88.9,one_factor_compact,11.099999999999994,6.116666666666674,0.21,semantic_neg_scale,93.88333333333333,1.0,none,0.0,1.0,False,0.5,1.0,0.0,A1_semantic_neg_scale_0p00
ADM,96.54166666666667,0.0,0.0625,0.4,0.046875,0.3,1.5,99.46042164293803,99.39026388888888,0.25,Semantic real-side negative evidence scale.,97.11666666666666,one_factor_compact,2.88333333333334,4.033333333333331,0.21,semantic_neg_scale,95.96666666666667,1.0,none,0.25,1.0,False,0.5,1.0,0.25,A1_semantic_neg_scale_0p25
DALLE2,98.1,0.0,0.0625,0.4,0.046875,0.3,1.5,99.94986527074282,99.945,0.25,Semantic real-side negative evidence scale.,99.6,one_factor_compact,0.4000000000000057,3.4000000000000057,0.21,semantic_neg_scale,96.6,1.0,none,0.25,1.0,False,0.5,1.0,0.25,A1_semantic_neg_scale_0p25
Glide,97.59166666666667,0.0,0.0625,0.4,0.046875,0.3,1.5,99.86570000843794,99.865225,0.25,Semantic real-side negative evidence scale.,99.35000000000001,one_factor_compact,0.6499999999999915,4.166666666666657,0.21,semantic_neg_scale,95.83333333333334,1.0,none,0.25,1.0,False,0.5,1.0,0.25,A1_semantic_neg_scale_0p25
Midjourney,96.36666666666667,0.0,0.0625,0.4,0.046875,0.3,1.5,99.33387590371112,99.23056944444446,0.25,Semantic real-side negative evidence scale.,96.28333333333333,one_factor_compact,3.7166666666666686,3.549999999999997,0.21,semantic_neg_scale,96.45,1.0,none,0.25,1.0,False,0.5,1.0,0.25,A1_semantic_neg_scale_0p25
VQDM,95.28333333333333,0.0,0.0625,0.4,0.046875,0.3,1.5,99.19187155771041,99.20237777777777,0.25,Semantic real-side negative evidence scale.,94.26666666666667,one_factor_compact,5.733333333333334,3.700000000000003,0.21,semantic_neg_scale,96.3,1.0,none,0.25,1.0,False,0.5,1.0,0.25,A1_semantic_neg_scale_0p25
biggan,81.27499999999999,0.0,0.0625,0.4,0.046875,0.3,1.5,98.82883567613409,98.702425,0.25,Semantic real-side negative evidence scale.,99.65,one_factor_compact,0.3499999999999943,37.1,0.21,semantic_neg_scale,62.9,1.0,none,0.25,1.0,False,0.5,1.0,0.25,A1_semantic_neg_scale_0p25
coco_sdxl_nw,97.575,0.0,0.0625,0.4,0.046875,0.3,1.5,99.91856044159424,99.9158125,0.25,Semantic real-side negative evidence scale.,99.7,one_factor_compact,0.29999999999999716,4.549999999999997,0.21,semantic_neg_scale,95.45,1.0,none,0.25,1.0,False,0.5,1.0,0.25,A1_semantic_neg_scale_0p25
cyclegan,92.65707797123392,0.0,0.0625,0.4,0.046875,0.3,1.5,99.69012840984243,99.7044768575638,0.25,Semantic real-side negative evidence scale.,100.0,one_factor_compact,0.0,14.685844057532165,0.21,semantic_neg_scale,85.31415594246783,1.0,none,0.25,1.0,False,0.5,1.0,0.25,A1_semantic_neg_scale_0p25
gaugan,73.76,0.0,0.0625,0.4,0.046875,0.3,1.5,99.32008798992885,99.38057,0.25,Semantic real-side negative evidence scale.,100.0,one_factor_compact,0.0,52.48,0.21,semantic_neg_scale,47.52,1.0,none,0.25,1.0,False,0.5,1.0,0.25,A1_semantic_neg_scale_0p25
progan,99.925,0.0,0.0625,0.4,0.046875,0.3,1.5,99.99997502497503,99.99997499999999,0.25,Semantic real-side negative evidence scale.,100.0,one_factor_compact,0.0,0.14999999999999147,0.21,semantic_neg_scale,99.85000000000001,1.0,none,0.25,1.0,False,0.5,1.0,0.25,A1_semantic_neg_scale_0p25
stable_diffusion_v_1_4,95.25833333333334,0.0,0.0625,0.4,0.046875,0.3,1.5,99.03362772385242,99.02213333333333,0.25,Semantic real-side negative evidence scale.,94.43333333333334,one_factor_compact,5.566666666666663,3.9166666666666714,0.21,semantic_neg_scale,96.08333333333333,1.0,none,0.25,1.0,False,0.5,1.0,0.25,A1_semantic_neg_scale_0p25
stable_diffusion_v_1_5,95.51875,0.0,0.0625,0.4,0.046875,0.3,1.5,99.19490185923989,99.10607890624999,0.25,Semantic real-side negative evidence scale.,94.7625,one_factor_compact,5.237499999999997,3.7249999999999943,0.21,semantic_neg_scale,96.275,1.0,none,0.25,1.0,False,0.5,1.0,0.25,A1_semantic_neg_scale_0p25
stargan,99.74987493746873,0.0,0.0625,0.4,0.046875,0.3,1.5,100.0,100.0,0.25,Semantic real-side negative evidence scale.,100.0,one_factor_compact,0.0,0.5002501250625357,0.21,semantic_neg_scale,99.49974987493746,1.0,none,0.25,1.0,False,0.5,1.0,0.25,A1_semantic_neg_scale_0p25
stylegan,99.61609080287097,0.0,0.0625,0.4,0.046875,0.3,1.5,99.99599983598412,99.99592110582833,0.25,Semantic real-side negative evidence scale.,99.34902353530295,one_factor_compact,0.6509764646970524,0.11684192956100503,0.21,semantic_neg_scale,99.883158070439,1.0,none,0.25,1.0,False,0.5,1.0,0.25,A1_semantic_neg_scale_0p25
stylegan2,99.1862794191287,0.0,0.0625,0.4,0.046875,0.3,1.5,99.9877845216726,99.98761443366853,0.25,Semantic real-side negative evidence scale.,98.53530295443164,one_factor_compact,1.4646970455683572,0.16274411617426665,0.21,semantic_neg_scale,99.83725588382573,1.0,none,0.25,1.0,False,0.5,1.0,0.25,A1_semantic_neg_scale_0p25
whichfaceisreal,88.9,0.0,0.0625,0.4,0.046875,0.3,1.5,97.03127718626365,96.5522,0.25,Semantic real-side negative evidence scale.,90.3,one_factor_compact,9.700000000000003,12.5,0.21,semantic_neg_scale,87.5,1.0,none,0.25,1.0,False,0.5,1.0,0.25,A1_semantic_neg_scale_0p25
wukong,91.24166666666666,0.0,0.0625,0.4,0.046875,0.3,1.5,97.79093458452446,97.67425277777778,0.25,Semantic real-side negative evidence scale.,86.4,one_factor_compact,13.599999999999994,3.9166666666666714,0.21,semantic_neg_scale,96.08333333333333,1.0,none,0.25,1.0,False,0.5,1.0,0.25,A1_semantic_neg_scale_0p25
ADM,96.75833333333334,0.0,0.125,0.4,0.09375,0.3,1.0,99.50789660204046,99.45166111111111,0.25,Semantic real-side negative evidence scale.,96.36666666666667,one_factor_compact,3.6333333333333258,2.8499999999999943,0.21,semantic_neg_scale,97.15,1.0,none,0.5,1.0,False,0.5,1.0,0.5,A1_semantic_neg_scale_0p50
DALLE2,98.5,0.0,0.125,0.4,0.09375,0.3,1.0,99.93013659533655,99.92259999999999,0.25,Semantic real-side negative evidence scale.,99.6,one_factor_compact,0.4000000000000057,2.6000000000000085,0.21,semantic_neg_scale,97.39999999999999,1.0,none,0.5,1.0,False,0.5,1.0,0.5,A1_semantic_neg_scale_0p50
Glide,98.19166666666666,0.0,0.125,0.4,0.09375,0.3,1.0,99.86613324413742,99.86508055555555,0.25,Semantic real-side negative evidence scale.,99.06666666666666,one_factor_compact,0.9333333333333371,2.683333333333337,0.21,semantic_neg_scale,97.31666666666666,1.0,none,0.5,1.0,False,0.5,1.0,0.5,A1_semantic_neg_scale_0p50
Midjourney,96.8,0.0,0.125,0.4,0.09375,0.3,1.0,99.48012770854916,99.41457777777778,0.25,Semantic real-side negative evidence scale.,96.26666666666667,one_factor_compact,3.7333333333333343,2.666666666666657,0.21,semantic_neg_scale,97.33333333333334,1.0,none,0.5,1.0,False,0.5,1.0,0.5,A1_semantic_neg_scale_0p50
VQDM,94.99166666666666,0.0,0.125,0.4,0.09375,0.3,1.0,99.21213883045182,99.22045555555556,0.25,Semantic real-side negative evidence scale.,92.46666666666667,one_factor_compact,7.533333333333331,2.4833333333333343,0.21,semantic_neg_scale,97.51666666666667,1.0,none,0.5,1.0,False,0.5,1.0,0.5,A1_semantic_neg_scale_0p50
biggan,84.325,0.0,0.125,0.4,0.09375,0.3,1.0,99.02697101409332,98.93674999999999,0.25,Semantic real-side negative evidence scale.,99.55000000000001,one_factor_compact,0.44999999999998863,30.900000000000006,0.21,semantic_neg_scale,69.1,1.0,none,0.5,1.0,False,0.5,1.0,0.5,A1_semantic_neg_scale_0p50
coco_sdxl_nw,97.95,0.0,0.125,0.4,0.09375,0.3,1.0,99.92993756000466,99.9285625,0.25,Semantic real-side negative evidence scale.,99.7,one_factor_compact,0.29999999999999716,3.799999999999997,0.21,semantic_neg_scale,96.2,1.0,none,0.5,1.0,False,0.5,1.0,0.5,A1_semantic_neg_scale_0p50
cyclegan,94.54958364875094,0.0,0.125,0.4,0.09375,0.3,1.0,99.76120723051301,99.77106555089537,0.25,Semantic real-side negative evidence scale.,100.0,one_factor_compact,0.0,10.900832702498107,0.21,semantic_neg_scale,89.0991672975019,1.0,none,0.5,1.0,False,0.5,1.0,0.5,A1_semantic_neg_scale_0p50
gaugan,77.07000000000001,0.0,0.125,0.4,0.09375,0.3,1.0,99.41028870392819,99.47671,0.25,Semantic real-side negative evidence scale.,100.0,one_factor_compact,0.0,45.86,0.21,semantic_neg_scale,54.14,1.0,none,0.5,1.0,False,0.5,1.0,0.5,A1_semantic_neg_scale_0p50
progan,99.9875,0.0,0.125,0.4,0.09375,0.3,1.0,99.99999375156212,99.99999375,0.25,Semantic real-side negative evidence scale.,100.0,one_factor_compact,0.0,0.024999999999991473,0.21,semantic_neg_scale,99.97500000000001,1.0,none,0.5,1.0,False,0.5,1.0,0.5,A1_semantic_neg_scale_0p50
stable_diffusion_v_1_4,94.75,0.0,0.125,0.4,0.09375,0.3,1.0,98.95707650106897,98.94388055555555,0.25,Semantic real-side negative evidence scale.,92.23333333333333,one_factor_compact,7.766666666666666,2.7333333333333343,0.21,semantic_neg_scale,97.26666666666667,1.0,none,0.5,1.0,False,0.5,1.0,0.5,A1_semantic_neg_scale_0p50
stable_diffusion_v_1_5,95.0125,0.0,0.125,0.4,0.09375,0.3,1.0,99.11406031576577,99.02324375,0.25,Semantic real-side negative evidence scale.,92.7875,one_factor_compact,7.212500000000006,2.762500000000003,0.21,semantic_neg_scale,97.2375,1.0,none,0.5,1.0,False,0.5,1.0,0.5,A1_semantic_neg_scale_0p50
stargan,99.8249124562281,0.0,0.125,0.4,0.09375,0.3,1.0,100.0,100.0,0.25,Semantic real-side negative evidence scale.,100.0,one_factor_compact,0.0,0.350175087543775,0.21,semantic_neg_scale,99.64982491245622,1.0,none,0.5,1.0,False,0.5,1.0,0.5,A1_semantic_neg_scale_0p50
stylegan,99.58270739442497,0.0,0.125,0.4,0.09375,0.3,1.0,99.99762462784479,99.99759835602734,0.25,Semantic real-side negative evidence scale.,99.21548990151895,one_factor_compact,0.78451009848105,0.050075112669006216,0.21,semantic_neg_scale,99.949924887331,1.0,none,0.5,1.0,False,0.5,1.0,0.5,A1_semantic_neg_scale_0p50
stylegan2,99.1174261392088,0.0,0.125,0.4,0.09375,0.3,1.0,99.99306595986359,99.992994624636,0.25,Semantic real-side negative evidence scale.,98.29744616925387,one_factor_compact,1.702553830746126,0.06259389083625422,0.21,semantic_neg_scale,99.93740610916375,1.0,none,0.5,1.0,False,0.5,1.0,0.5,A1_semantic_neg_scale_0p50
whichfaceisreal,89.35,0.0,0.125,0.4,0.09375,0.3,1.0,97.20192286867655,96.7599,0.25,Semantic real-side negative evidence scale.,90.3,one_factor_compact,9.700000000000003,11.599999999999994,0.21,semantic_neg_scale,88.4,1.0,none,0.5,1.0,False,0.5,1.0,0.5,A1_semantic_neg_scale_0p50
wukong,90.28333333333333,0.0,0.125,0.4,0.09375,0.3,1.0,97.79946836805439,97.69579166666666,0.25,Semantic real-side negative evidence scale.,83.36666666666666,one_factor_compact,16.63333333333334,2.799999999999997,0.21,semantic_neg_scale,97.2,1.0,none,0.5,1.0,False,0.5,1.0,0.5,A1_semantic_neg_scale_0p50
ADM,96.55833333333334,0.0,0.1875,0.4,0.140625,0.3,0.5,99.52515137043918,99.47755833333333,0.25,Semantic real-side negative evidence scale.,95.33333333333334,one_factor_compact,4.666666666666657,2.2166666666666686,0.21,semantic_neg_scale,97.78333333333333,1.0,none,0.75,1.0,False,0.5,1.0,0.75,A1_semantic_neg_scale_0p75
DALLE2,98.25,0.0,0.1875,0.4,0.140625,0.3,0.5,99.90032578689183,99.888,0.25,Semantic real-side negative evidence scale.,99.1,one_factor_compact,0.9000000000000057,2.6000000000000085,0.21,semantic_neg_scale,97.39999999999999,1.0,none,0.75,1.0,False,0.5,1.0,0.75,A1_semantic_neg_scale_0p75
Glide,98.375,0.0,0.1875,0.4,0.140625,0.3,0.5,99.85853611356876,99.855975,0.25,Semantic real-side negative evidence scale.,98.83333333333333,one_factor_compact,1.1666666666666714,2.083333333333343,0.21,semantic_neg_scale,97.91666666666666,1.0,none,0.75,1.0,False,0.5,1.0,0.75,A1_semantic_neg_scale_0p75
Midjourney,97.08333333333333,0.0,0.1875,0.4,0.140625,0.3,0.5,99.57376137730586,99.53181666666666,0.25,Semantic real-side negative evidence scale.,96.25,one_factor_compact,3.75,2.083333333333343,0.21,semantic_neg_scale,97.91666666666666,1.0,none,0.75,1.0,False,0.5,1.0,0.75,A1_semantic_neg_scale_0p75
VQDM,94.20833333333334,0.0,0.1875,0.4,0.140625,0.3,0.5,99.16833637545332,99.16968055555554,0.25,Semantic real-side negative evidence scale.,90.4,one_factor_compact,9.599999999999994,1.9833333333333343,0.21,semantic_neg_scale,98.01666666666667,1.0,none,0.75,1.0,False,0.5,1.0,0.75,A1_semantic_neg_scale_0p75
biggan,87.4,0.0,0.1875,0.4,0.140625,0.3,0.5,99.16768286592408,99.1026,0.25,Semantic real-side negative evidence scale.,99.5,one_factor_compact,0.5,24.700000000000003,0.21,semantic_neg_scale,75.3,1.0,none,0.75,1.0,False,0.5,1.0,0.75,A1_semantic_neg_scale_0p75
coco_sdxl_nw,98.15,0.0,0.1875,0.4,0.140625,0.3,0.5,99.93698213438087,99.9363625,0.25,Semantic real-side negative evidence scale.,99.7,one_factor_compact,0.29999999999999716,3.4000000000000057,0.21,semantic_neg_scale,96.6,1.0,none,0.75,1.0,False,0.5,1.0,0.75,A1_semantic_neg_scale_0p75
cyclegan,95.9878879636639,0.0,0.1875,0.4,0.140625,0.3,0.5,99.80364870308837,99.81135113730852,0.25,Semantic real-side negative evidence scale.,100.0,one_factor_compact,0.0,8.024224072672212,0.21,semantic_neg_scale,91.97577592732779,1.0,none,0.75,1.0,False,0.5,1.0,0.75,A1_semantic_neg_scale_0p75
gaugan,80.02,0.0,0.1875,0.4,0.140625,0.3,0.5,99.467180943321,99.537242,0.25,Semantic real-side negative evidence scale.,100.0,one_factor_compact,0.0,39.959999999999994,0.21,semantic_neg_scale,60.040000000000006,1.0,none,0.75,1.0,False,0.5,1.0,0.75,A1_semantic_neg_scale_0p75
progan,99.9875,0.0,0.1875,0.4,0.140625,0.3,0.5,99.99999375156212,99.99999375,0.25,Semantic real-side negative evidence scale.,100.0,one_factor_compact,0.0,0.024999999999991473,0.21,semantic_neg_scale,99.97500000000001,1.0,none,0.75,1.0,False,0.5,1.0,0.75,A1_semantic_neg_scale_0p75
stable_diffusion_v_1_4,93.89166666666667,0.0,0.1875,0.4,0.140625,0.3,0.5,98.81838918803099,98.79789166666667,0.25,Semantic real-side negative evidence scale.,89.95,one_factor_compact,10.049999999999997,2.166666666666657,0.21,semantic_neg_scale,97.83333333333334,1.0,none,0.75,1.0,False,0.5,1.0,0.75,A1_semantic_neg_scale_0p75
stable_diffusion_v_1_5,94.1125,0.0,0.1875,0.4,0.140625,0.3,0.5,98.97749305481732,98.88029921875,0.25,Semantic real-side negative evidence scale.,90.5,one_factor_compact,9.5,2.2750000000000057,0.21,semantic_neg_scale,97.725,1.0,none,0.75,1.0,False,0.5,1.0,0.75,A1_semantic_neg_scale_0p75
stargan,99.84992496248124,0.0,0.1875,0.4,0.140625,0.3,0.5,100.0,100.0,0.25,Semantic real-side negative evidence scale.,100.0,one_factor_compact,0.0,0.30015007503752145,0.21,semantic_neg_scale,99.69984992496248,1.0,none,0.75,1.0,False,0.5,1.0,0.75,A1_semantic_neg_scale_0p75
stylegan,99.48255716908696,0.0,0.1875,0.4,0.140625,0.3,0.5,99.99819244483034,99.99818344330606,0.25,Semantic real-side negative evidence scale.,98.98180604239693,one_factor_compact,1.0181939576030743,0.01669170422300681,0.21,semantic_neg_scale,99.983308295777,1.0,none,0.75,1.0,False,0.5,1.0,0.75,A1_semantic_neg_scale_0p75
stylegan2,99.02353530295443,0.0,0.1875,0.4,0.140625,0.3,0.5,99.99491019698492,99.99487369511955,0.25,Semantic real-side negative evidence scale.,98.08462694041062,one_factor_compact,1.9153730595893848,0.037556334501758215,0.21,semantic_neg_scale,99.96244366549824,1.0,none,0.75,1.0,False,0.5,1.0,0.75,A1_semantic_neg_scale_0p75
whichfaceisreal,89.75,0.0,0.1875,0.4,0.140625,0.3,0.5,97.34313491853725,96.938,0.25,Semantic real-side negative evidence scale.,90.3,one_factor_compact,9.700000000000003,10.799999999999997,0.21,semantic_neg_scale,89.2,1.0,none,0.75,1.0,False,0.5,1.0,0.75,A1_semantic_neg_scale_0p75
wukong,88.97500000000001,0.0,0.1875,0.4,0.140625,0.3,0.5,97.69229859456064,97.58887777777778,0.25,Semantic real-side negative evidence scale.,80.13333333333334,one_factor_compact,19.86666666666666,2.183333333333337,0.21,semantic_neg_scale,97.81666666666666,1.0,none,0.75,1.0,False,0.5,1.0,0.75,A1_semantic_neg_scale_0p75
ADM,96.34166666666667,0.0,0.25,0.4,0.1875,0.3,0.0,99.51956888110576,99.47610555555556,0.25,Semantic real-side negative evidence scale.,94.55,one_factor_compact,5.450000000000003,1.8666666666666742,0.21,semantic_neg_scale,98.13333333333333,1.0,none,1.0,1.0,False,0.5,1.0,1.0,A1_semantic_neg_scale_1p00
DALLE2,98.15,0.0,0.25,0.4,0.1875,0.3,0.0,99.8560647653458,99.8359,0.25,Semantic real-side negative evidence scale.,98.8,one_factor_compact,1.2000000000000028,2.5,0.21,semantic_neg_scale,97.5,1.0,none,1.0,1.0,False,0.5,1.0,1.0,A1_semantic_neg_scale_1p00
Glide,98.38333333333334,0.0,0.25,0.4,0.1875,0.3,0.0,99.84511579957446,99.84023055555555,0.25,Semantic real-side negative evidence scale.,98.53333333333333,one_factor_compact,1.4666666666666686,1.7666666666666657,0.21,semantic_neg_scale,98.23333333333333,1.0,none,1.0,1.0,False,0.5,1.0,1.0,A1_semantic_neg_scale_1p00
Midjourney,97.2,0.0,0.25,0.4,0.1875,0.3,0.0,99.63461124917676,99.6067,0.25,Semantic real-side negative evidence scale.,96.23333333333333,one_factor_compact,3.7666666666666657,1.8333333333333286,0.21,semantic_neg_scale,98.16666666666667,1.0,none,1.0,1.0,False,0.5,1.0,1.0,A1_semantic_neg_scale_1p00
VQDM,93.40833333333333,0.0,0.25,0.4,0.1875,0.3,0.0,99.08256864369835,99.07156388888889,0.25,Semantic real-side negative evidence scale.,88.51666666666667,one_factor_compact,11.483333333333334,1.7000000000000028,0.21,semantic_neg_scale,98.3,1.0,none,1.0,1.0,False,0.5,1.0,1.0,A1_semantic_neg_scale_1p00
biggan,89.325,0.0,0.25,0.4,0.1875,0.3,0.0,99.26843368313611,99.219275,0.25,Semantic real-side negative evidence scale.,99.3,one_factor_compact,0.7000000000000028,20.650000000000006,0.21,semantic_neg_scale,79.35,1.0,none,1.0,1.0,False,0.5,1.0,1.0,A1_semantic_neg_scale_1p00
