alpha_high_neg,alpha_high_neg_guard,alpha_high_pos,alpha_low_neg,alpha_low_pos,anchor_distance,beta,biggan_r_acc,description,diffusion_text_f_acc,family,gamma,gan_face_translation_acc,gaugan_r_acc,parameter,residual_scale,selection_data,semantic_neg_scale,semantic_pos_scale,tail_f_acc,target_labels_used_for_selection,threshold,tile_scale,value,variant
0.0,0.3125,0.4,0.234375,0.3,0.5,0.25,82.75,Semantic real-side negative evidence scale.,90.52361111111111,one_factor_compact,0.21,95.19402521328868,70.58,semantic_neg_scale,1.0,none,1.25,1.0,89.46875,False,0.5,1.0,1.25,A1_semantic_neg_scale_1p25
0.0,0.375,0.4,0.28125,0.3,1.0,0.25,85.7,Semantic real-side negative evidence scale.,88.92268518518519,one_factor_compact,0.21,95.60417283214119,73.83999999999999,semantic_neg_scale,1.0,none,1.5,1.0,87.60069444444446,False,0.5,1.0,1.5,A1_semantic_neg_scale_1p50
0.0,0.25,0.4,0.1875,0.3,1.0,0.25,85.1,Residual gamma scale.,78.74166666666666,one_factor_compact,0.0,94.73845718751795,71.38,gamma_scale,0.0,none,1.0,1.0,73.83694444444444,False,0.5,1.0,0.0,R0_gamma_scale_0p00
0.0,0.25,0.4,0.1875,0.3,0.75,0.25,84.1,Residual gamma scale.,84.84305555555555,one_factor_compact,0.0525,95.34263115090008,70.1,gamma_scale,0.25,none,1.0,1.0,81.31736111111111,False,0.5,1.0,0.25,R0_gamma_scale_0p25
0.0,0.25,0.4,0.1875,0.3,0.5,0.25,82.0,Residual gamma scale.,88.45972222222223,one_factor_compact,0.105,95.26147618456645,68.26,gamma_scale,0.5,none,1.0,1.0,86.12569444444445,False,0.5,1.0,0.5,R0_gamma_scale_0p50
0.0,0.25,0.4,0.1875,0.3,0.24999999999999997,0.25,80.25,Residual gamma scale.,90.65416666666665,one_factor_compact,0.1575,94.98778074178392,66.88,gamma_scale,0.75,none,1.0,1.0,89.1701388888889,False,0.5,1.0,0.75,R0_gamma_scale_0p75
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,79.35,Residual gamma scale.,92.01157407407408,one_factor_compact,0.21,94.634671281511,65.66,gamma_scale,1.0,none,1.0,1.0,91.21736111111112,False,0.5,1.0,1.0,R0_gamma_scale_1p00
0.0,0.25,0.4,0.1875,0.3,0.2500000000000001,0.25,78.25,Residual gamma scale.,92.76388888888889,one_factor_compact,0.2625,94.16324210018067,64.92,gamma_scale,1.25,none,1.0,1.0,92.38749999999999,False,0.5,1.0,1.25,R0_gamma_scale_1p25
0.0,0.25,0.4,0.1875,0.3,0.5000000000000001,0.25,77.2,Residual gamma scale.,93.1625,one_factor_compact,0.315,93.71799380759171,64.25999999999999,gamma_scale,1.5,none,1.0,1.0,93.11319444444445,False,0.5,1.0,1.5,R0_gamma_scale_1p50
0.0,0.25,0.4,0.1875,0.3,0.75,0.25,76.5,Residual gamma scale.,93.42777777777778,one_factor_compact,0.3675,93.29743578052778,63.68000000000001,gamma_scale,1.75,none,1.0,1.0,93.59444444444445,False,0.5,1.0,1.75,R0_gamma_scale_1p75
0.0,0.25,0.4,0.1875,0.3,1.0,0.25,75.94999999999999,Residual gamma scale.,93.53796296296296,one_factor_compact,0.42,92.72827714704583,63.1,gamma_scale,2.0,none,1.0,1.0,93.96249999999999,False,0.5,1.0,2.0,R0_gamma_scale_2p00
0.0,0.25,0.4,0.1875,0.0,1.0,0.25,79.55,Low-resolution semantic positive alpha.,91.31527777777778,one_factor_alpha_split,0.21,94.17787361916345,66.60000000000001,alpha_low_pos_scale,1.0,none,1.0,1.0,90.02736111111112,False,0.5,1.0,0.0,AS0_alpha_low_pos_scale_0p00
0.0,0.25,0.4,0.1875,0.075,0.75,0.25,79.5,Low-resolution semantic positive alpha.,91.64722222222223,one_factor_alpha_split,0.21,94.61089217348407,66.28,alpha_low_pos_scale,1.0,none,1.0,1.0,90.92138888888888,False,0.5,1.0,0.25,AS0_alpha_low_pos_scale_0p25
0.0,0.25,0.4,0.1875,0.15,0.5,0.25,79.45,Low-resolution semantic positive alpha.,91.82546296296296,one_factor_alpha_split,0.21,94.65789069492452,66.0,alpha_low_pos_scale,1.0,none,1.0,1.0,91.11041666666667,False,0.5,1.0,0.5,AS0_alpha_low_pos_scale_0p50
0.0,0.25,0.4,0.1875,0.22499999999999998,0.25000000000000006,0.25,79.4,Low-resolution semantic positive alpha.,91.92592592592592,one_factor_alpha_split,0.21,94.64734252985936,65.74,alpha_low_pos_scale,1.0,none,1.0,1.0,91.16666666666667,False,0.5,1.0,0.75,AS0_alpha_low_pos_scale_0p75
0.0,0.25,0.4,0.1875,0.3,0.0,0.25,79.35,Low-resolution semantic positive alpha.,92.01157407407408,one_factor_alpha_split,0.21,94.634671281511,65.66,alpha_low_pos_scale,1.0,none,1.0,1.0,91.21736111111112,False,0.5,1.0,1.0,AS0_alpha_low_pos_scale_1p00
0.0,0.25,0.4,0.1875,0.375,0.25000000000000006,0.25,79.3,Low-resolution semantic positive alpha.,92.04814814814816,one_factor_alpha_split,0.21,94.64015294150099,65.56,alpha_low_pos_scale,1.0,none,1.0,1.0,91.25555555555555,False,0.5,1.0,1.25,AS0_alpha_low_pos_scale_1p25
0.0,0.25,0.4,0.1875,0.44999999999999996,0.4999999999999999,0.25,79.2,Low-resolution semantic positive alpha.,92.0875,one_factor_alpha_split,0.21,94.62511465583827,65.42,alpha_low_pos_scale,1.0,none,1.0,1.0,91.30069444444445,False,0.5,1.0,1.5,AS0_alpha_low_pos_scale_1p50
0.0,0.25,0.4,0.0,0.3,1.0,0.25,56.65,Low-resolution semantic negative alpha.,96.70972222222221,one_factor_alpha_split,0.21,90.82363363663802,40.5,alpha_low_neg_scale,1.0,none,1.0,1.0,96.21736111111112,False,0.5,1.0,0.0,AS1_alpha_low_neg_scale_0p00
