mean_acc,mean_ap,mean_auc,mean_f_acc,mean_fnr,mean_fpr,mean_r_acc,variant,variant_name
94.82357079914243,99.34473977895834,99.30366002901958,94.95532833564071,5.044671664359285,5.3081867373558485,94.69181326264415,AF0_full_artifact_features,Full artifact features
84.96707386678197,98.82265066546066,98.71350711696299,70.25243408822695,29.747565911773062,0.3182863546629825,99.68171364533703,AF1_no_codec_block,No codec/block
94.63277958454523,99.29555835447593,99.2510571034017,95.31763036711929,4.682369632880693,6.0520711980288375,93.94792880197116,AF2_no_chroma_luma,No chroma-luma
94.82357079914243,99.34473977895834,99.30366002901958,94.95532833564071,5.044671664359285,5.3081867373558485,94.69181326264415,AF3_no_texture,No texture
94.82357079914243,99.34473977895834,99.30366002901958,94.95532833564071,5.044671664359285,5.3081867373558485,94.69181326264415,AF4_no_recompression,No recompression
94.82357079914243,99.34473977895834,99.30366002901958,94.95532833564071,5.044671664359285,5.3081867373558485,94.69181326264415,AF5_no_residual_spectrum,No residual spectrum
94.82357079914243,99.34473977895834,99.30366002901958,94.95532833564071,5.044671664359285,5.3081867373558485,94.69181326264415,AF6_no_residual_tail,No residual tail
94.82357079914243,99.34473977895834,99.30366002901958,94.95532833564071,5.044671664359285,5.3081867373558485,94.69181326264415,AF7_no_patch_heterogeneity,No patch heterogeneity
94.63277958454523,99.29555835447593,99.2510571034017,95.31763036711929,4.682369632880693,6.0520711980288375,93.94792880197116,AF8_codec_block_only,Codec/block only
84.4086923184442,98.67975646820278,98.57866241217873,69.20399649510631,30.79600350489368,0.3866118582179267,99.61338814178208,AF9_spectrum_only,Spectrum only
