generator,acc,ap,auc,f_acc,fnr,fpr,r_acc,variant,variant_name
progan,99.9875,99.99999375156212,99.99999375,100.0,0.0,0.024999999999991473,99.97500000000001,AF2_no_chroma_luma,No chroma-luma
stable_diffusion_v_1_4,92.79166666666666,98.4746368476932,98.40945555555555,87.78333333333333,12.216666666666669,2.200000000000003,97.8,AF2_no_chroma_luma,No chroma-luma
stable_diffusion_v_1_5,92.9125,98.63874083035336,98.51800468750001,88.2,11.799999999999997,2.375,97.625,AF2_no_chroma_luma,No chroma-luma
stargan,99.87493746873437,100.0,100.0,100.0,0.0,0.25012506253126787,99.74987493746873,AF2_no_chroma_luma,No chroma-luma
stylegan,99.44082790852946,99.99837287985434,99.99837011400928,98.89834752128192,1.10165247871808,0.01669170422300681,99.983308295777,AF2_no_chroma_luma,No chroma-luma
stylegan2,99.05483224837256,99.99556084106521,99.99554445589266,98.13470205307962,1.8652979469203785,0.025037556334510214,99.97496244366549,AF2_no_chroma_luma,No chroma-luma
whichfaceisreal,89.25,97.44319106444543,97.07090000000001,91.60000000000001,8.399999999999991,13.099999999999994,86.9,AF2_no_chroma_luma,No chroma-luma
wukong,87.61666666666666,97.25227053194104,97.12598055555556,77.8,22.200000000000003,2.566666666666663,97.43333333333334,AF2_no_chroma_luma,No chroma-luma
ADM,96.34166666666667,99.51999468248417,99.47655277777778,94.55,5.450000000000003,1.8666666666666742,98.13333333333333,AF3_no_texture,No texture
DALLE2,98.15,99.8540930399765,99.834,98.8,1.2000000000000028,2.5,97.5,AF3_no_texture,No texture
Glide,98.39166666666667,99.84547509265495,99.84062777777778,98.53333333333333,1.4666666666666686,1.75,98.25,AF3_no_texture,No texture
Midjourney,97.21666666666667,99.63038423597489,99.60297777777778,96.26666666666667,3.7333333333333343,1.8333333333333286,98.16666666666667,AF3_no_texture,No texture
VQDM,93.40833333333333,99.08242283031625,99.07151666666667,88.51666666666667,11.483333333333334,1.7000000000000028,98.3,AF3_no_texture,No texture
biggan,89.325,99.26910463215792,99.219925,99.3,0.7000000000000028,20.650000000000006,79.35,AF3_no_texture,No texture
coco_sdxl_nw,98.35000000000001,99.94171488512454,99.94155,99.7,0.29999999999999716,3.0,97.0,AF3_no_texture,No texture
cyclegan,96.63133989401969,99.83320476503484,99.83960262251718,100.0,0.0,6.737320211960636,93.26267978803936,AF3_no_texture,No texture
gaugan,82.82000000000001,99.50572055998389,99.577862,100.0,0.0,34.36,65.64,AF3_no_texture,No texture
progan,99.9875,99.99999375156212,99.99999375,100.0,0.0,0.024999999999991473,99.97500000000001,AF3_no_texture,No texture
stable_diffusion_v_1_4,92.575,98.6251897437154,98.59299444444444,87.01666666666667,12.983333333333334,1.8666666666666742,98.13333333333333,AF3_no_texture,No texture
stable_diffusion_v_1_5,92.9,98.79152782515035,98.6846234375,87.625,12.375,1.8250000000000028,98.175,AF3_no_texture,No texture
stargan,99.87493746873437,100.0,100.0,100.0,0.0,0.25012506253126787,99.74987493746873,AF3_no_texture,No texture
stylegan,99.34902353530295,99.99820918120315,99.99820294621536,98.71473877482892,1.2852612251710838,0.01669170422300681,99.983308295777,AF3_no_texture,No texture
stylegan2,98.87956935403105,99.99538312252699,99.99535795932256,97.78417626439659,2.215823735603408,0.025037556334510214,99.97496244366549,AF3_no_texture,No texture
