generator,acc,ap,auc,f_acc,fnr,fpr,r_acc,variant,variant_name
stable_diffusion_v_1_5,57.675,72.69073680038872,73.83870312500001,19.2,80.8,3.8499999999999943,96.15,A2_semantic,Semantic only
stargan,97.94897448724362,99.76601759131816,99.77897903428953,99.09954977488744,0.9004502251125643,3.2016008004002003,96.7983991995998,A2_semantic,Semantic only
stylegan,88.93340010015022,98.95555344250755,98.94883219504604,78.65131029878151,21.34868970121849,0.78451009848105,99.21548990151895,A2_semantic,Semantic only
stylegan2,83.65673510265398,98.88511232050031,98.90570708340928,67.67651477215824,32.32348522784176,0.3630445668502773,99.63695543314972,A2_semantic,Semantic only
whichfaceisreal,86.6,97.70830752340044,97.40259999999999,96.89999999999999,3.1000000000000085,23.700000000000003,76.3,A2_semantic,Semantic only
wukong,60.03333333333334,76.58970819974199,76.93258194444445,24.116666666666667,75.88333333333333,4.049999999999997,95.95,A2_semantic,Semantic only
ADM,88.97500000000001,97.15569869990269,97.21438888888889,83.13333333333334,16.86666666666666,5.183333333333323,94.81666666666668,A3_residual,Residual only
DALLE2,97.1,99.69660567292483,99.64420000000001,97.39999999999999,2.6000000000000085,3.200000000000003,96.8,A3_residual,Residual only
Glide,94.53333333333333,98.70912849391506,98.77752916666667,94.46666666666667,5.533333333333331,5.400000000000006,94.6,A3_residual,Residual only
Midjourney,96.33333333333334,99.45866537356345,99.42326944444444,97.58333333333333,2.4166666666666714,4.916666666666671,95.08333333333333,A3_residual,Residual only
VQDM,81.70833333333334,93.98841701768248,94.66348472222222,68.71666666666667,31.28333333333333,5.300000000000011,94.69999999999999,A3_residual,Residual only
biggan,77.875,85.78296999969916,87.81695,88.5,11.5,32.75,67.25,A3_residual,Residual only
coco_sdxl_nw,97.775,99.83796804010849,99.8337125,99.4,0.5999999999999943,3.8499999999999943,96.15,A3_residual,Residual only
cyclegan,80.24224072672219,87.91012921141679,90.83416951234958,74.33762301286903,25.66237698713097,13.853141559424671,86.14685844057533,A3_residual,Residual only
gaugan,65.86999999999999,65.05588866530594,70.760986,75.9,24.099999999999994,44.16,55.84,A3_residual,Residual only
progan,99.52499999999999,99.98979277536552,99.9895375,99.5,0.5,0.44999999999998863,99.55000000000001,A3_residual,Residual only
stable_diffusion_v_1_4,95.7,99.2312250775085,99.23100694444445,96.65,3.3499999999999943,5.25,94.75,A3_residual,Residual only
stable_diffusion_v_1_5,95.825,99.28792050629822,99.20499609375,96.98750000000001,3.0124999999999886,5.3374999999999915,94.66250000000001,A3_residual,Residual only
stargan,99.0495247623812,99.99855677089911,99.99857357393054,100.0,0.0,1.9009504752376216,98.09904952476238,A3_residual,Residual only
stylegan,97.2375229510933,99.65589952293729,99.57185263233971,94.87564680353864,5.124353196461357,0.4006009013520355,99.59939909864796,A3_residual,Residual only
stylegan2,97.96569854782173,99.90233046407646,99.89822772466161,96.4321482223335,3.5678517776665046,0.5007511266900337,99.49924887330997,A3_residual,Residual only
whichfaceisreal,57.8,67.08982349758114,66.8473,30.4,69.6,14.799999999999997,85.2,A3_residual,Residual only
wukong,89.28333333333333,96.56840551729826,96.85841805555555,84.55,15.450000000000003,5.983333333333334,94.01666666666667,A3_residual,Residual only
ADM,88.20833333333333,97.31555639919637,97.09729722222222,78.96666666666667,21.03333333333333,2.549999999999997,97.45,A4_no_artifact,No artifact
DALLE2,72.55,85.03496748019079,84.90220000000001,52.400000000000006,47.599999999999994,7.299999999999997,92.7,A4_no_artifact,No artifact
Glide,89.36666666666667,97.66066588720676,97.49327916666667,80.78333333333333,19.21666666666667,2.049999999999997,97.95,A4_no_artifact,No artifact
Midjourney,59.13333333333334,77.39396350707885,76.99780277777778,20.75,79.25,2.4833333333333343,97.51666666666667,A4_no_artifact,No artifact
VQDM,80.80000000000001,94.25839749687988,93.33765277777778,63.916666666666664,36.083333333333336,2.316666666666663,97.68333333333334,A4_no_artifact,No artifact
